"Session Tuesday 29 September 2026 - 09:00-11:00 - Area 2 - Oral 5 - Voice Quality Aspects of Speech","Paper ID ","Time ","Paper Title ","Presenting Author ","Abstract ","Authors ","CN tbhead2 bg-c2","","","","","","","","","","","","","","","","","",""
"Oral","2736","10:00-10:20","Spectral Masking and Interpolation Attack (SMIA): A Black-box Adversarial Attack against Voice Authentication and Anti-Spoofing Systems","Kamel Kamel","Voice Authentication Systems (VASs) are deeply integrated into high-security sectors, yet remain vulnerable to deepfake and adversarial spoofing attacks. While anti-spoofing countermeasures (CMs) exist to mitigate these risks, many rely on static detection models that can be bypassed by novel adversarial methods, leaving a critical security gap. We propose the Spectral Masking and Interpolation Attack (SMIA), a black-box adversarial method that strategically manipulates inaudible frequency regions of AI-generated audio to deceive both VAS and CMs simultaneously. Evaluated against state-of-the-art open-source and commercial systems under simulated real-world conditions, SMIA achieves up to 100% ASR against standalone CMs, 97.5% against VASs, and 82% against combined CM and VAS pipelines, conclusively outperforming prior work and underscoring the need for dynamic, adaptive defenses.","Kamel Kamel(Deakin University); Hridoy Sankar Dutta(Deakin University); Keshav Sood(Deakin University); Sunil Aryal(Deakin University)","","","","","","","","","","","","","","","","","","",""
"Oral","1532","10:20-10:40","BiSASV: Bidirectional Feature Modulation with Dual-Granularity Fusion for Spoofing-Robust ASV","Ji Liu","Automatic speaker verification (ASV) systems are vulnerable to synthetic speech attacks. However, existing feature-level fusion for spoofing-robust ASV (SASV) generally relies on unidirectional CM-to-ASV interactions, ignoring speaker context. We propose BiSASV, a bidirectional modulation spoofing-robust automatic speaker verification system that establishes a reciprocal information flow between the ASV and countermeasure (CM) subsystems. A bidirectional modulation network is introduced to inject global speaker context into the CM, while the enhanced CM features inversely gate the ASV embeddings. Furthermore, a dual-granularity fusion strategy is explored to capture both fine-grained and global discriminative cues. Experimental results show that the proposed system yields an SASV equal error rate (SASV-EER) of 0.73% and a minimum agnostic detection cost function (min a-DCF) of 0.0153 on the ASVspoof 2019 LA set, significantly outperforming unidirectional baseline methods.","Yiqun Zhou(Tianjin University); Kong Aik Lee(The Hong Kong Polytechnic University); Ji Liu(Tianjin University); Longbiao Wang(Tianjin University; Huiyan Technology (Tianjin) Co., Ltd)","","","","","","","","","","","","","","","","","","",""
"Oral","3207","10:40-11:00","AGENT: A Black-box Adversarial Attack Exposing the Achilles' Heel of SASV Systems","Yowon Lee","Spoofing-Aware Speaker Verification (SASV) enhances Automatic Speaker Verification (ASV) by integrating countermeasure (CM) modules to defend against spoofing attacks. Recent studies show that SASV improves robustness against both spoofing and adversarial attacks on standalone ASV. However, attacks targeting the full ASV-CM pipeline remain underexplored. We propose AGENT, a black-box adversarial attack that jointly deceives both ASV and CM modules. AGENT is built upon two key designs: (1) a score-maximization objective that amplifies ASV confidence beyond decision margins, and (2) a directional-selective gradient fusion strategy that explicitly resolves gradient conflicts between modules. Experiments demonstrate that AGENT achieves up to 99.62% Attack Success Rate (ASR) across diverse SASV architectures. These results reveal critical vulnerabilities in current SASV systems and highlight the need for stronger defenses in real-world voice authentication systems.","Yowon Lee(Soongsil University); Seongkyu Han(Soongsil University); Thien-Phuc Doan(Soongsil University); Souhwan Jung(Soongsil University)","","","","","","","","","","","","","","","","","","",""
"Tuesday 29 September 2026 - 09:00-11:00 - Area 5 - Oral 8 - Acoustic Event Detection 1","","","","","","","tbhead2 bg-c2","","","","","","","","","","","","","","","","","",""
"Oral","177","09:00-09:20","Mind the Gap: Detecting Cluster Exits for Robust Local Density-Based Score Normalization in Anomalous Sound Detection","Kevin Wilkinghoff","Local density-based score normalization is an effective component of distance-based embedding methods for anomalous sound detection, particularly when data densities vary across conditions or domains. In practice, however, performance depends strongly on neighborhood size. Increasing it can degrade detection accuracy when neighborhood expansion crosses cluster boundaries, violating the locality assumption of local density estimation. This observation motivates adapting the neighborhood size based on locality preservation rather than fixing it in advance. We realize this by proposing cluster exit detection, a lightweight mechanism that identifies distance discontinuities and selects neighborhood sizes accordingly. Experiments across multiple embedding models and datasets show improved robustness to neighborhood-size selection and consistent performance gains.","Kevin Wilkinghoff(Aalborg University; Pioneer Centre for AI); Gordon Wichern(Mitsubishi Electric Research Laboratories); Jonathan Le Roux(Mitsubishi Electric Research Laboratories); Zheng-Hua Tan(Aalborg University; Pioneer Centre for AI)","","","","","","","","","","","","","","","","","","",""
"Oral","550","09:20-09:40","Lung-SRAD: Spectral-Aware Regularized Audio DASS with Dual-Axis Patch-Mix Contrastive Learning for Respiratory Sound Classification","June-Woo Kim","Recent respiratory sound classification (RSC) studies largely rely on CLS-token driven self-attention architectures such as the Audio Spectrogram Transformer (AST). While effective at modeling global context, recent analyses suggest a low-pass filtering behavior that may reduce sensitivity to localized abnormal patterns. In this work, we investigate State Space Models (SSMs) as an alternative backbone for RSC. Using the Distilled Audio State Space model, we analyze intermediate representations through spectral response curves and observe stronger preservation of mid-to-high spatial-frequency components. Based on these observations, we introduce spectral-aware layer regularization using Gaussian convolution applied to selected layers. We further propose Dual-Axis Patch-Mix contrastive learning tailored to SSM-based audio models for robust representation learning. Experiments on the ICBHI benchmark show that our approach achieves 64.48% score, outperforming the AST baseline by 5%. Code is available at https://github.com/RSC-Toolkit/Lung-SRAD.","Hemansh Shridhar(RSC LAB, MODULABS); Miika Toikkanen(RSC LAB, MODULABS); June-Woo Kim(Department of Electronic Engineering, Wonkwang University)","","","","","","","","","","","","","","","","","","",""
"Oral","995","09:40-10:00","TriA Pipeline: A Large-Scale Automatic Audio Annotation Pipeline For Audio Classification In Specific Scenarios","Hong Lyu","There are some datasets of varying scales for audio classification (AC) applied to different tasks. However, annotated data is limited for most scenarios, such as domestic environments. To address this challenge, we propose an Automatic Audio Annotation Pipeline -TriA Pipeline, which can efficiently convert audio from various scenarios into high-quality training data with audio event annotations. A TriA dataset was constructed with the TriA Pipeline, over 2130 hours of audio covering 431 audio classes. Furthermore, we partitioned a prior-knowledge-guided subset (TriAGK) from TriA and conduct comparative experiments on three domestic AC tasks. Comparing the result on manually annotated data only and that on manually annotated data combines TriAGK, TriAGK could achieve average relative gains of 3.97% in accuracy and 3.35% in Macro-F1, validating the effectiveness of TriAGK and the TriA Pipeline.","Hong Lyu(South China University of Technology); Mingru Yang(South China University of Technology); Qianhua He(South China University of Technology); Yanxiong Li(South China University of Technology); Jinxin Huang(South China University of Technology); Zhengyu Pei(South China University of Technology)","","","","","","","","","","","","","","","","","","",""
"Oral","1386","10:00-10:20","Acoustic Landmark Detector based on Conformer and HuBERT","Mateo Cámara","Acoustic landmarks (abrupt acoustic changes tied to speech events) offer a linguistically grounded representation for speech analysis. We study automatic landmark detection with Conformer models, evaluating 14 configurations spanning architecture, loss, label representation, feature extractor, and data conditions on 1,839 manually annotated utterances with eight landmark types. We propose Gaussian soft labels with per-class temporal spread (σ=10-20 ms), improving F1@20 ms by 7.0% absolute vs. hard labels by modeling annotation variability. Frozen HuBERT features perform best without fine-tuning (F1@20 ms=0.77). Stops and fricatives are reliable (F1&gt;0.80), while vowels remain challenging (F1≈0.55). On our corpus, our system reaches a 13.8% Landmark Error Rate (LER). This is not directly comparable to AutoLandmark (31.3%) or SpeechMark (56.5%), evaluated on a different corpus and metric. Per-class trends show detectability increases with event abruptness, consistent with Stevens' theory.","Mateo Cámara(Universidad Politécnica de Madrid; MIT); José Luis Blanco(Universidad Politécnica de Madrid); Juan Ignacio Godino-Llorente(Universidad Politécnica de Madrid); Jeung-Yoon Choi(MIT); Stefanie Shattuck-Hufnagel(MIT)","","","","","","","","","","","","","","","","","","",""
"Oral","2629","10:20-10:40","Ecologically-Constrained Task Arithmetic for Multi-Taxa Bioacoustic Classifiers Without Shared Data","Ragib Amin Nihal","Training data for bioacoustics is scattered across taxa, regions, and institutions. Centralizing it all is often infeasible. We show that independently fine-tuned BEATs encoders can be composed into a unified 661-species classifier via task vector arithmetic without sharing data. We find that bioacoustic task vectors are near-orthogonal (cosine 0.01-0.09). Their separation aligns closely with spectral distribution distance, a gradient consistent with the acoustic niche hypothesis. This geometry makes simple averaging optimal while sign-conflict methods reduce accuracy by one to six percentage points. Composition also creates an asymmetric gap: species-rich groups lose accuracy relative to joint training while underrepresented taxa gain, a redistribution useful for equitable biodiversity monitoring. We verify linear mode connectivity across all taxonomic pairs, demonstrate zero-shot transfer to new regions, and identify domain negation as a boundary condition where composition fails. These results enable a collaborative paradigm for bioacoustics where institutions share only task vectors to assemble multi-taxa classifiers, preserving data privacy.","Ragib Amin Nihal(Institute of Science Tokyo); Benjamin Yen(Institute of Science Tokyo; RIKEN BDR); Runwu Shi(Institute of Science Tokyo); Takeshi Ashizawa(Institute of Science Tokyo); Kazuhiro Nakadai(Institute of Science Tokyo)","","","","","","","","","","","","","","","","","","",""
"Oral","2759","10:40-11:00","Beyond task performance: Decoding bioacoustic embeddings with speech features","Ines Nolasco","Pretrained audio embeddings are standard in bioacoustics, yet little is known about which acoustic features they encode, nor which are useful for a given task. This limits transparency and extension to rare species or data-scarce domains. We ask which speech-like features bioacoustic embeddings encode, framing evaluation as interpretability rather than benchmarking. Using the 88 eGeMAPS features across six taxonomic groups, we apply linear and nonlinear regression probes to quantify which acoustic properties each model captures. Results confirm a &quot;no free lunch&quot; pattern: no single model captures the full feature space, while a concatenated embedding performs best, suggesting complementary coverage. Loudness is best encoded (R² = 0.76) while F0 is hardest to recover (R² = 0.33). Cross-referencing recoverability with per-species feature salience (NMI) offers data-driven hypotheses for model selection in bioacoustics.","Ines Nolasco(Earth Species Project); Jules Cauzinille(Earth Species Project); Marius Miron(Earth Species Project); Gagan Narula(Earth Species Project); Milad Alizadeh(Earth Species Project); Emmanuel Fernandez(Earth Species Project); Matthieu Geist(Earth Species Project); Ellen Gilsenan-McMahon(Earth Species Project); Olivier Pietquin(Earth Species Project); Emmanuel Chemla(Earth Species Project); Sara Keen(Earth Species Project)","","","","","","","","","","","","","","","","","","",""
