"Session Tuesday 29 September 2026 - 09:00-11:00 - Area 2 - Oral 5 - Voice Quality Aspects of Speech","Paper ID ","Time ","Paper Title ","Presenting Author ","Abstract ","Authors ","CN tbhead2 bg-c2","","","","","","","","","","","","","","","","","",""
"Oral","1375","10:00-10:20","Contextual Earnings-22: A Speech Recognition Benchmark with Custom Vocabulary in the Wild","Berkin Durmus","The accuracy frontier of speech-to-text systems has plateaued on academic benchmarks.¹ In contrast, industrial benchmarks and adoption in high-stakes domains suggest otherwise. We hypothesize that the primary difference between the two is contextual conditioning: Academic benchmarks are dominated by frequently encountered general vocabulary that is relatively easy to recognize compared with rare and context-defined custom vocabulary that has disproportionate impact on the usability of speech transcripts. Despite progress on contextual speech-to-text, there is no standardized benchmark. We introduce Contextual Earnings-22, an open dataset built upon Earnings-22, with realistic custom vocabulary contexts to foster research and reveal latent progress. We set six strong baselines for two dominant approaches: keyword prompting and keyword boosting. Experiments show comparable and significantly improved accuracy when scaled from proof-of-concept to commercial-scale systems.","Berkin Durmus(Argmax, Inc.; University of California); Chen Cen(Argmax, Inc.); Eduardo Pacheco(Argmax, Inc.); Arda Okan(Argmax, Inc.); Atila Orhon(Atila Orhon: Argmax, Inc.)","","","","","","","","","","","","","","","","","","",""
"Oral","2367","10:20-10:40","VIP-MINGLE: A Corpus for Videoconference and In-Person Multimodal Interaction in Group Language Engagement","Andrew Chang","Group conversations are a fundamental yet complex form of social interaction central to human cognition and telecommunication technology. While understanding and facilitating these interactions has been a long-standing goal, findings are often isolated within specific in-person or videoconferencing settings due to a scarcity of datasets that bridge the two. We introduce VIP-MINGLE, a multimodal dataset comprising 59 hours of recordings (32 groups, 105 participants), featuring paired within-subject sessions in both settings. The dataset includes raw audio/video, psychometric data, processed multimodal features (e.g., diarized speech, facial expressions, transcriptions), and time-resolved human annotations. Our analysis reveals significant behavioral distribution shifts across multiple modalities between settings, reinforcing the need for a cross-setting corpus. VIP-MINGLE serves as a critical resource for developing robust models of group conversations across settings.","Andrew Chang(New York University); Abhinay K Bodi(New York University); Wenxin Deng(New York University); Junrui Huang(New York University); Venu G Kadamba(New York University); Sumanth B H Karanam(New York University); Dhiwahar A Kennady(New York University); David Poeppel(New York University); Dustin Freeman(New York University)","","","","","","","","","","","","","","","","","","",""
"Oral","2642","10:40-11:00","Earnings25: A Comprehensive 500-Hour Speech Benchmark for Finance","Anshul Wadhawan","We introduce Earnings25, a finance-domain benchmark for evaluating automatic speech recognition (ASR) on English-language earnings calls under realistic conditions. Earnings25 comprises two complementary test sets: (i) testset-full, 498 hours of full English-language S&amp;P 500 earnings calls from Q4 2025, and (ii) testset-segmented, a 46-hour industry-balanced set of 290 segments sampled from English-language U.S. earnings calls in 2025. The benchmark provides aligned transcripts and structured metadata, including speaker roles, industry labels, and call structure, enabling speaker- and industry-aware evaluation beyond aggregate word error rate (WER). We report reproducible baselines for Whisper and Parakeet-TDT using standardized scoring.","Denglin Jiang(Bloomberg); Haoran Zhou(Bloomberg); Anshul Wadhawan(Bloomberg); Brendan Fahy(Bloomberg); Vinay Ramesh(Bloomberg); David Weisberg(Bloomberg); Dmitriy Derkachevskiy(Bloomberg); Helen Sheehan(Bloomberg); Srivas Prasad(Bloomberg); Michele Franceschini(Bloomberg)","","","","","","","","","","","","","","","","","","",""
"Tuesday 29 September 2026 - 09:00-11:00 - Area 13 - Oral 9 - Multimodal and Non-Speech Healthcare Applications","","","","","","","tbhead2 bg-c2","","","","","","","","","","","","","","","","","",""
"Oral","2235","09:00-09:20","Zero-Shot Respiratory Sound Classification through LLM-Augmented Audio-Text Alignment","Mustafa Talha İlerisoy","Self-supervised respiratory encoders lack semantic grounding in clinical domain needed for zero-shot inference, limiting their utility without task-specific labeled data. We propose a framework that aligns these encoders with medical terminology in a shared latent space turning them into a zero-shot-capable foundation model. To address paired data scarcity, we use a medical LLM to synthesize structured reports from metadata, creating dense semantic anchors for contrastive learning. Our training combines a sigmoid-based contrastive loss with encoder's native SSL objective and similarity-aware negative sampling to sharpen pathological boundaries. Across 9 tasks on 6 datasets, our method achieves a 61.3% mean zero-shot AUC, surpassing CLAP (51.4%) and Qwen2-Audio (54.9%) while reaching the highest linear probing AUC (71.6%) with only 43% of data used by full-scale baselines, showing that structured semantic alignment outperforms large-scale, general-purpose models in clinical diagnostics.","Mustafa Talha İlerisoy(Eindhoven University of Technology); Hung Manh Pham(Singapore Management University); Mathias Funk(Eindhoven University of Technology); Mykola Pechenizkiy(Eindhoven University of Technology); Aaqib Saeed(Eindhoven University of Technology)","","","","","","","","","","","","","","","","","","",""
"Oral","3022","09:20-09:40","From Lab to Laptop: Validating 3D Speech Kinematics with MediaPipe Face Mesh","Victoria Sanchez","Measuring articulatory movement traditionally requires expensive laboratory equipment, constraining scale and clinical translation. We analytically validated a markerless pipeline using MediaPipe's Face Mesh model to capture 3D articulator movement trajectories from a single standard RGB camera. Per-participant calibration transformed model outputs into millimeters, enabling direct benchmarking against optical motion capture. Accuracy was quantified with 3D positional error, and movement fidelity was evaluated relative to each landmark's excursion and speed at 30 and 15 fps under matched filtering. The system achieved millimeter-scale tracking accuracy (mean 3D uRMSE 2.03 ± 0.59 mm), low normalized displacement error (6.63 ± 1.28%), robust depth recovery, and no loss of utility at 15 fps—establishing single-camera 3D tracking as a scalable, analytically viable technology.","Victoria Sanchez(Harvard University; Massachesetts General Hospital Institute of Health Professions); Oliver Roesler(Modality.AI); Michael Neumann(Modality.AI); David Pautler(Modality.AI); Brian Richburg(Massachesetts General Hospital Institute of Health Professions); Karen Chenausky(Massachesetts General Hospital Institute of Health Professions); Yana Yunusova(Sunnybrook Research Institute; University of Toronto); Vikram Ramanarayanan(Modality.AI; University of California San Francisco); Jordan Green(Massachesetts General Hospital Institute of Health Professions; Harvard University)","","","","","","","","","","","","","","","","","","",""
"Oral","159","09:40-10:00","Toward an Articulatory Weakness Index for Speech Kinematics in Parkinson’s Disease","Shrishail Baligar","Many acoustic speech metrics often reflect a combination of respiratory, laryngeal, and articulatory contributions, thereby preventing direct measurement of articulatory dynamics. We have developed an articulatory weakness index (AWI) derived from electromagnetic articulography (EMA) or acoustic data. We learn an articulatory-state coordinate Za from healthy EMA data, where higher values indicate restricted articulator motion. In cohorts of individuals with Parkinson's disease (PD) and controls, AWI is elevated in PD and correlates with motor severity, while remaining stable across in healthy controls and speakers with vocal hyperfunction. AWI provides an interpretable, disentangled articulatory weakness index from acoustic speech recordings, complementing respiratory and laryngeal measures.","Shrishail Baligar(Massachusetts General Hospital); Ahmed Yousef(Massachusetts General Hospital); Daryush Mehta(Massachusetts General Hospital)","","","","","","","","","","","","","","","","","","",""
"Oral","2850","10:00-10:20","Speech and Video Biomarkers Exhibit Reduced Within-Subject Variability in Early Parkinson’s Disease and Resistance to Placebo and Hawthorne Effects","Vikram Ramanarayanan","Placebo and Hawthorne effects are well-known confounders in clinical trials, particularly in Parkinson's disease, contributing to variability in standard clinical scales like the Movement Disorder Society-Unified Parkinson's Disease Rating Scale (MDS-UPDRS). Using data collected as part of a Phase 2 clinical trial, we evaluated speech, facial and finger-tapping digital biomarkers for within-subject stability and resistance to these contextual influences. These objective measures exhibited correlation at baseline with, but lower variability and lower susceptibility to placebo or observation effects than the MDS-UPDRS, demonstrating robustness. These findings highlight the potential of audiovisual and motor digital biomarkers as reliable, reproducible endpoints in PD trials, enabling more sensitive detection of disease progression and treatment effects.","Hardik Kothare(Modality.AI, Inc.); Oliver Roesler(Modality.AI, Inc.); Lakshmi Arbatti(Modality.AI, Inc.); Michael Neumann(Modality.AI, Inc.); Karl Kieburtz(CLINTREX); Andrew McGarry(CLINTREX); Craig Thompson(Cerevance); Vikram Ramanarayanan(Modality.AI, Inc.; University of California)","","","","","","","","","","","","","","","","","","",""
"Oral","1588","10:20-10:40","BACH: Benchmarking Audio Codecs for Bio-Acoustic Health","Zixing Zhang","Bio-acoustic health signals are increasingly vital for remote diagnostics, yet efficient transmission remains a bottleneck for clinical adoption. While audio codecs offer strong compression for general audio, they preserve diagnostically critical information in bio-acoustic signals is unclear. To address this gap, we introduce BACH, the first systematic Benchmark for evaluating Audio Codecs on bio-acoustic Health tasks. BACH assesses eight codecs across five bio-acoustic health tasks, utilizing a unified framework covering original audio, compressed representations, and reconstructed audio. Our central finding reveals a critical misalignment between reconstruction fidelity and downstream task performance: codecs excelling at signal reconstruction do not always retain task-relevant semantic cues. This highlights a fundamental challenge for future research: codecs for medical applications must be co-designed to optimize for both perceptual quality and diagnostic information preservation.","Zixing Zhang(Hunan University); Xiaojun Mo(Hunan University); Zhongren Dong(Hunan University); Bin Wang(Beijing Xiaomi Mobile Software Co., Ltd.); Jing Han(Hunan University; Yuelushan Center for Industrial Innovation)","","","","","","","","","","","","","","","","","","",""
"Oral","535","10:40-11:00","Uncovering Latent Depression Severity for Binary Depression Detection via Advantage-weighting Ranking","Manning Gao","Automatic depression detection using audio-visual data faces significant challenges, particularly in disentangling overlapping feature distributions and establishing robust decision boundaries. To address this, we propose a fine-grained multimodal framework featuring a temporal encoder and a mutual transformer to facilitate deep cross-modal fusion. Our core contribution is the Binary Advantage-weighting Ranking Loss, which optimizes the latent space distribution through two complementary mechanisms: Advantage-weighted Separation, which mines hard pairs by computing a pairwise prediction difference matrix and dynamically weighting them based on their difficulty; and Advantage-weighted Compactness, which minimizes intra-class variance to force features to cluster around their respective class centers. Extensive experiments on D-vlog and LMVD demonstrate that our model reconstructs the latent ordinal structure by prioritizing hard pairs, thereby achieving state-of-the-art performance.","Manning Gao(South China Normal University); Tingyi Liu(South China Normal University); Leheng Zhang(South China Normal University); Haifeng Hu(Sun Yat-sen University); Yuncheng Jiang(South China Normal University); Sijie Mai(South China Normal University)","","","","","","","","","","","","","","","","","","",""
"★ Tuesday 29 September 2026 - 09:00-11:00 - Long - Oral 10 - Multilingual Speech 1 [Cross-area long papers Oral session]","","","","","","","tbhead2 bg-c2","","","","","","","","","","","","","","","","","",""
"Long Oral","3351","09:00-09:20","Decolonizing Linguistic Policies in Automatic Speech Recognition: A Framework for Cross-Culturally Competent Speech AI","Jay L. Cunningham","This paper focuses on automatic speech recognition (ASR) and ASR-mediated voice interfaces that shape access to public services, healthcare, and education. We argue that persistent failures for low-resource, Indigenous, and non-standard language varieties are not only technical errors, but also implicit linguistic policies that reproduce colonial language hierarchies. Drawing on linguistic capital, raciolinguistic ideology, language policy research, and decolonial computing, we show how data, metrics, and model priors determine whose voices become machine-legible. We introduce the Three Harms (3M) taxonomy--Misrecognition, Misalignment, and Mistrust--and a seven-layer situatedness model for linguistic diversity in ASR and ASR-mediated voice interfaces. We then propose a participatory framework and minimum audit protocol for culturally competent ASR, positioning affected communities as co-designers, evaluators, and governance partners.","Jay L. Cunningham(DePaul University); Mark Atta Mensah(York University); Richard Martinez(Independent Researcher); João Vieira da Silva Neto(DePaul University); Efi Dawodu(DePaul University)","","","","","","","","","","","","","","","","","","",""
"Long Oral","2584","09:20-09:40","Turning Speech Language Models into Multilingual Listeners","Tolúlọpẹ́ Ògúnrẹ̀mí","Speech Language Models (SLMs) that understand spoken language questions support only a few high-resource languages, limiting access to millions of people worldwide. This gap stems from the scarcity of multilingual speech instruction-tuning datasets. We present MULTISPEECHQA, a large-scale, synthetically generated and human-verified dataset comprising 9200 hours of 10.8 million spoken question-answer pairs in 23 typologically diverse languages. Using MULTISPEECHQA, we also introduce MULTISPEECH-BENCH, a multi-task benchmark for evaluating SLM performance on 23 languages. We compare the performance of a cascading system to open-weight and closed SLMs on MULTISPEECH-BENCH and find that the cascading system outperforms open-weight SLMs but not all closed SLMs. We use MULTISPEECHQA to finetune Qwen 2.5-Omni, which improves its performance on our benchmark. Our findings show that high-quality synthetic datasets offer a cheap solution to improving the multilingual capabilities of SLMs.","Tolúlọpẹ́ Ògúnrẹ̀mí(Stanford University); Dan Jurafsky(Stanford University); Christopher D. Manning(Stanford University); Ahnmet Üstün(Cohere Labs; Cohere); Martijn Bartelds(Stanford University)","","","","","","","","","","","","","","","","","","",""
"Long Oral","1516","09:40-10:00","Preserving the Iranian Turkic Language: Community-Driven ASR Datasets and Benchmarking for South Azerbaijani","Jalil Nourmohammadi Khiarak","Automatic speech recognition (ASR) is widely used, but its progress in low-resource languages like South Azerbaijani, a Turkic language with Arabic script, remains limited due to scarce data. To address this gap, we introduce the first community-driven ASR datasets for South Azerbaijani. These include: a dataset comprising +255,743 transcribed utterances from multiple sources; a dataset collected by the authors from the South Azerbaijani-speaking community; and the AZB ASR GoldSet, a challenging benchmark dataset for future evaluation. To establish strong baselines, we benchmark eight models, including MMS-1b-all and seven Whisper-family models fine-tuned on our datasets. Our results demonstrate that using the full dataset improves performance, and language-specific fine-tuning is crucial for low-resource settings. Error analysis further reveals that Arabic script ambiguity and deletion-heavy decoding are the primary error sources. The code and datasets are also publicly available.","Farhan Farsi(Amirkabir University of Technology); Shayan Bali(King's College London); Jalil Nourmohammadi Khiarak(Kartal Ol Foundation); Mohammad Hossein Aref(Amirkabir University of Technology); Taher Akbari Saeed(Kartal Ol Foundation)","","","","","","","","","","","","","","","","","","",""
"Long Oral","3519","10:00-10:20","WazobiaSpeech: A Large-Scale Multilingual Speech Corpus for Robust and Fair ASR in Four Nigerian Languages","Ife Adebara","African languages remain severely underrepresented in large-scale speech resources, particularly for spontaneous speech reflecting real-world use. We present WazobiaSpeech, an ethically governed corpus spanning four Nigerian languages, 2,540.8 hours of audio, and 2,865 speakers, with emphasis on naturally occurring speech across diverse sociolinguistic contexts. Although a small portion - 4% of the entire data includes scripted recordings to ensure lexical and domain coverage, the dataset is predominantly spontaneous. Unlike prior corpora built mainly on scripted speech, WazobiaSpeech captures authentic variation in accent, dialect, register, and code-switching, enriched with demographic and contextual metadata. We detail data collection and transcription workflows, and report baseline ASR results with cross-lingual error analyses, including fine-grained evaluation of tone sensitivity in speech recognition.","Ife Adebara(University of Alberta, EqualyzAI, Data Science Nigeria; Amii; CIFAR AI Chair); Oluwaseun Nifemi(Data Science Nigeria; EqualyzAI); Olubayo Adekanmbi(Data Science Nigeria; EqualyzAI); Rashidat Sikiru(EqualyzAI); Ololade Anjuwon(EqualyzAI); Ronke Akinmosin(EqualyzAI); Faiza Sani(EqualyzAI)","","","","","","","","","","","","","","","","","","",""
"Long Oral","540","10:20-10:40","NaturalFlow: Reducing Disruptive Pauses for Natural Speech Flow in Simultaneous Speech-to-Speech Translation","Dongwook Lee","Simultaneous speech-to-speech translation aims to enable near-real-time communication by minimizing latency, offering a compelling, real-time alternative to the high latency of consecutive translation. However, the excessive pursuit of low latency often results in fragmented chunk-wise speech. Consequently, listeners are subjected to an unnatural acoustic flow punctuated by frequent pauses, which could increase their cognitive load. To bridge this gap, we introduce a fluency-aware optimization framework designed to discover the sweet spot between the low-latency benefits of simultaneous translation and the natural flow of consecutive translation. Our framework minimizes inter-chunk silences by leveraging model-internal signals, including linguistic diversity and induced temporal variability in speech durations. Experiments on short- and long-form benchmarks show that our framework produces natural speech flow while maintaining competitive latency and translation quality.","Dongwook Lee(Seoul National University); Youngho Cho(Seoul National University); Sangkwon Park(Seoul National University); Heeseung Kim(University of Seoul); Sungroh Yoon(Seoul National University)","","","","","","","","","","","","","","","","","","",""
"Long Oral","575","10:40-11:00","Better Late Than Never: Meta-Evaluation of Latency Metrics for Simultaneous Speech-to-Text Translation","Peter Polák","Simultaneous speech-to-text translation systems must balance translation quality with latency. Although quality evaluation is well established, latency measurement remains a challenge. Existing metrics produce inconsistent results, especially in short-form settings with artificial presegmentation. We present the first comprehensive meta-evaluation of latency metrics across language pairs and systems. We uncover a structural bias in current metrics related to segmentation. We introduce YAAL (Yet Another Average Lagging) for a more accurate short-form evaluation and LongYAAL for unsegmented audio. We propose SOFTSEGMENTER, a resegmentation tool based on soft word-level alignment. We show that YAAL and LongYAAL, together with SOFTSEGMENTER, outperform popular latency metrics, enabling more reliable assessments of short- and long-form simultaneous speech translation systems. We implement all artifacts within the OMNISTEVAL toolkit: https://github.com/pe-trik/OmniSTEval.","Peter Polák(Charles University; AppTek); Sara Papi(Fondazione Bruno Kessler); Luisa Bentivogli(Fondazione Bruno Kessler); Ondřej Bojar(Charles University)","","","","","","","","","","","","","","","","","","",""
"★ Tuesday 29 September 2026 - 09:00-11:00 - Long Oral 11 - Pronunciation Diversity [Cross-area long papers Oral session]","","","","","","","tbhead2 bg-c2","","","","","","","","","","","","","","","","","",""
"Survey Talk","","09:00-09:40","Pronunciation Diversity","Farhat Jabeen","Variability in natural speech is largely shaped by syntactic and pragmatic structure. Non-deterministic Generative Speech Models (GSMs), however, may produce intonation that diverges from these patterns. In the first part of this talk, I will review existing studies evaluating GSMs’ ability to simulate probabilistic intonational variation. The second part will focus on the Hindi discourse particle ‘-hii’, examining its pragmatic associations and intonational realizations in both human- and GSM-generated speech. I employ Functional Principal Component Analysis and Bayesian regression to characterize and compare intonational variability across the two sources. Using objective acoustic measures, I asses the extent to which contemporary GSMs capture naturally occurring intonational variability and its pragmatic conditioning. Overall, this talk aims to highlight both the potential and the limitations of GSMs for generating pragmatically appropriate spoken language.","","","","","","","","","","","","","","","","","","","",""
"Long Oral","808","09:40-10:00","Layer-wise Probing of wav2vec 2.0 and Whisper for Consonant Cluster Reduction in African American English","Hamid Mojarad","Self-supervised and supervised speech models are increasingly used to investigate which linguistic information their internal representations encode, and at what level of abstraction they encode it. One underexplored phenomenon is consonant cluster reduction (CCR) in African American English (AAE), a widespread phonological process and a source of automatic speech recognition (ASR) disparity. To examine how CCR is represented, we conduct speaker-independent layer-wise probing of wav2vec2-base and Whisper-small using two tasks: segmental reduction detection and segmental restoration of underlying cluster identity. Both models distinguish reduced and canonical forms with high accuracy. Crucially, reduced segments retain cues to their underlying stops, indicating that CCR is encoded as structured gradient phonological variation rather than simple segmental deletion. These results demonstrate structured phonological encoding of AAE CCR patterns in modern speech models.","Hamid Mojarad(Heinrich Heine University Düsseldorf); Kevin Tang(Department of English Heinrich Heine University Düsseldorf, Germany; University of Florida)","","","","","","","","","","","","","","","","","","",""
"Long Oral","2391","10:00-10:20","Bilingual Speaker Phonetic Alignment to Voice Assistants","Alyssa Allen","Users engage in conversation with ASR-powered voice assistants, but these models favor Standard American English (SAE) speech. Model bias impacts how non-SAE users engage with human versus system voices. Linguistic accommodation measures how interlocutors engage with each other and can be used to examine individuals' relative acceptance of voice assistants as social agents. This study asks how Spanish dominant Spanish-English bilingual speakers phonetically align on voice onset time (VOT) and vowel duration to human versus machine voices in each language. Participants (N=50) in an online lexical shadowing experiment read a list of words, then shadowed a human or voice assistant saying each word. Convergence was found in terms of vowel duration and VOT across languages and conditions, signaling bilingual speakers respond to machine voices in human-like ways across languages. Condition and language effects were mitigated by social information like dialectal region and gender.","Alyssa Allen(The Ohio State University); Kathryn Campbell-Kibler(The Ohio State University)","","","","","","","","","","","","","","","","","","",""
"Long Oral","1056","10:20-10:40","Controllable Accent Normalization via Discrete Diffusion","Qibing Bai","Existing accent normalization methods do not typically offer control over accent strength, yet many applications—such as language learning and dubbing—require tunable accent retention. We propose DLM-AN, a controllable accent normalization system built on masked discrete diffusion over self-supervised speech tokens. A Common Token Predictor identifies source tokens that likely encode native pronunciation; these tokens are selectively reused to initialize the reverse diffusion process. This provides a simple yet effective mechanism for controlling accent strength: reusing more tokens preserves more of the original accent. DLM-AN further incorporates a flow-matching Duration Ratio Predictor that automatically adjusts the total duration to better match the native rhythm. Experiments on multi-accent English data show that DLM-AN achieves the lowest word error rate among all compared systems while delivering competitive accent reduction and smooth, interpretable accent strength control.","Qibing Bai(The Chinese University of Hong Kong; Tencent); Yuhan Du(Nanjing University); Tom Ko(Shenzhen Loop Area Institute); Shuai Wang(Nanjing University; Shenzhen Loop Area Institute); Yannan Wang(Tencent); Haizhou Li(The Chinese University of Hong Kong, Shenzhen; Shenzhen Loop Area Institute)","","","","","","","","","","","","","","","","","","",""
"Long Oral","711","10:40-11:00","Beyond Acoustic Sparsity and Linguistic Bias: A Prompt-Free Paradigm for Mispronunciation Detection and Diagnosis","Haopeng Geng","Mispronunciation Detection and Diagnosis (MDD) requires modeling fine-grained acoustic deviations. However, current ASR-derived MDD systems often face inherent limitations. In particular, CTC-based models favor sequence-level alignments that neglect transient mispronunciation cues, while explicit canonical priors bias predictions toward intended targets. To address these bottlenecks, we propose a prompt-free framework decoupling acoustic fidelity from canonical guidance. First, we introduce CROTTC, an acoustic model enforcing monotonic, frame-level alignment to accurately capture pronunciation deviations. Second, we implicitly inject mispronunciation information via the IF strategy under the knowledge transfer principle. Experiments show CROTTC-IF achieves a 71.77% F1-score on L2-ARCTIC and 71.70% F1-score on the Iqra'Eval2 leaderboard. With empirical analysis, we demonstrate that decoupling acoustics from explicit priors provides highly robust MDD.","Haopeng Geng(The University of Tokyo); Longfei Yang(The University of Tokyo); Xi Chen(The University of Tokyo); Haitong Sun(The University of Tokyo); Daisuke Saito(The University of Tokyo); Nobuaki Minematsu(The University of Tokyo)","","","","","","","","","","","","","","","","","","",""
"Tuesday 29 September 2026 - 09:00-11:00 - Area 3 - Poster 3 - Speech Emotion Recognition and Representation 2","","","","","","","tbhead2 bg-c4","","","","","","","","","","","","","","","","","",""
"Poster","1907","09:00-11:00","How Attention Shapes Emotion: A Comparative Study of Attention Mechanisms for Speech Emotion Recognition","Federico Costa","Speech Emotion Recognition (SER) plays a key role in advancing human-computer interaction. Attention mechanisms have become the dominant approach for modeling emotional speech due to their ability to capture long-range dependencies and emphasize salient information. However, standard self-attention suffers from quadratic computational and memory complexity, limiting its scalability. In this work, we present a systematic benchmark of optimized attention mechanisms for SER, including RetNet, LightNet, GSA, FoX, and KDA. Experiments on both MSP-Podcast benchmark versions show that while standard self-attention achieves the strongest recognition performance across test sets, efficient attention variants dramatically improve scalability, reducing inference latency and memory usage by up to an order of magnitude. These results highlight a critical trade-off between accuracy and efficiency, providing practical insights for designing scalable SER systems.","Marc Casals-Salvador(Barcelona Supercomputing Center; Universitat Politècnica de Catalunya); Federico Costa(Barcelona Supercomputing Center; Universitat Politècnica de Catalunya); Rodolfo Zevallos(Barcelona Supercomputing Center); Javier Hernando(Barcelona Supercomputing Center; Universitat Politècnica de Catalunya)","","","","","","","","","","","","","","","","","","",""
"Poster","3458","09:00-11:00","From Single to Multi-Label SER: Dataset and Mamba-Based Fusion Model","Thi Thu Trang Nguyen","We present a reproducible multi-label benchmark for speech emotion recognition (SER) built from the MSP-Podcast V2.0 corpus. Our pipeline converts crowdsourced emotion votes into multi-hot labels with controlled ambiguity and sparsity via reliability filtering, deterministic vote-to-label construction, and lightweight time-shift augmentation. On this benchmark, we provide a compact Mamba-based fusion baseline over MFCC and log-mel features, following prior SER fusion practice, while using linear-time state-space backbones for efficient modeling of long audio. Using a validation-only global threshold sweep for checkpoint selection and a fixed test-time threshold for evaluation, our fusion model attains competitive micro-F1 on two MSP-Podcast test partitions (≈0.50 on both Test1 and Test2) while remaining substantially lighter than heavier baselines and recent methods. We release dataset splits, construction code, and training recipes to support future work on scalable multi-label SER.","Vu Long Tran(Hanoi University of Science and Technology); Long Duc Do(Hanoi University of Science and Technology); Vinh Quang Nguyen(Hanoi University of Science and Technology); Ngoc Minh Nguyen(Hanoi University of Science and Technology); Quang Minh Le Pham(Hanoi University of Science and Technology); Hieu Trung Nguyen(Hanoi University of Science and Technology); Trang Thu Thi Nguyen(Hanoi University of Science and Technology)","","","","","","","","","","","","","","","","","","",""
"Poster","1219","09:00-11:00","Multi-Loss Learning for Speech Emotion Recognition with Energy-Adaptive Mixup and Frame-Level Attention","Yizhong Geng","Speech emotion recognition (SER) is an important technology in human-computer interaction. However, achieving high performance is challenging due to emotional complexity and scarce annotated data. To tackle these challenges, we propose a multi-loss learning (MLL) framework integrating an energy-adaptive mixup (EAM) method and a frame-level attention module (FLAM). The EAM method leverages SNR-based augmentation to generate diverse speech samples capturing subtle emotional variations. FLAM enhances frame-level feature extraction for multi-frame emotional cues. Our MLL strategy combines Kullback-Leibler divergence, focal, center, and supervised contrastive loss to optimize learning, address class imbalance, and improve feature separability. We evaluate our method on four widely used SER datasets: IEMOCAP, MSP-IMPROV, RAVDESS, and SAVEE. The results demonstrate our method achieves state-of-the-art performance, suggesting its effectiveness and robustness.","Cong Wang(Beijing University of Posts and Telecommunications); Yizhong Geng(Beijing University of Posts and Telecommunications); Yuhua Wen(Beijing University of Posts and Telecommunications); Qifei Li(Beijing University of Posts and Telecommunications); Yingming Gao(Beijing University of Posts and Telecommunications); Ruimin Wang(Li Auto); Chunfeng Wang(Li Auto); Hao Li(Li Auto); Wei Chen(Li Auto); Ya Li(Beijing University of Posts and Telecommunications)","","","","","","","","","","","","","","","","","","",""
"Poster","969","09:00-11:00","Segment-wise Embedding based Graph Attention Network for Effective Speech Emotion Recognition","Haoyu Song","With the advancement of pretrained speech models like Hubert-large, leveraging general representations for downstream tasks such as speech emotion recognition (SER) is of growing importance to both academia and industry. We propose a highly effective segment-wise embedding-domain graph-attention network (GAT) where a Swin-Transformer adapts a pretrained model to capture multi-scale information from utterances. Self-supervised adaptor post-training with both block masking prediction and utterance-level contrastive learning addresses distribution shift issues. During finetuning, a graph is constructed from multiple embedding crops per utterance, allowing GAT-based temporal aggregation to extract insightful information from variable-length utterances. In addition to cross entropy, supervised contrastive learning is used to improve robustness to ambiguous utterance labels. Extensive SER experiments on IEMOCAP and MER2023 demonstrate significant performance gains over SOTA solutions.","Haoyu Song(Singapore Institute of Technology); Ian McLoughlin(Singapore Institute of Technology); Yan Song(University of Science and Technology of China); Lirong Dai(University of Science and Technology of China)","","","","","","","","","","","","","","","","","","",""
"Poster","3374","09:00-11:00","Dual-Stream DNN-KAN Networks with Bangla-Specific Features for Speech Emotion Recognition","Kazi Reyazul Hasan","Speech emotion recognition (SER) is challenging due to the complex interplay of spectral and prosodic features. We propose a dual-stream DNN-KAN architecture for Bangla speech, processing MFCCs through efficient DNN blocks and statistically optimized prosodic features via lightweight Kolmogorov-Arnold Networks (KANs) with learnable B-spline activations. With only 1.1M parameters, our model achieves 92.12% on SUBESCO and 82.79% on BanglaSER under speaker-independent (SI) evaluation. Most prior Bangla SER work omits SI evaluation, so published figures likely reflect speaker memorization rather than genuine generalization. Re-running our feature-selection pipeline on EmoDB yields 93.92%, showing that the selection methodology transfers across languages. At 1.1M parameters, the model surpasses emotion2vec (25M) by 2.70% and wav2vec2-xlsr (326M) by 1.07% on SUBESCO SI, showing that statistically grounded feature engineering can match large pre-trained models at a fraction of the cost.","Kazi Reyazul Hasan(Bangladesh University of Engineering and Technology); Muhammad Abdullah Adnan(Bangladesh University of Engineering and Technology)","","","","","","","","","","","","","","","","","","",""
"Poster","3532","09:00-11:00","EII-SCL: Harnessing Emotional Inertia for Multimodal Emotion Recognition in Conversation","Zilong Huang","Multimodal emotion recognition in conversation (MERC) achieves accurate predictions by integrating multimodal and contextual information in dialogues. While current MERC approaches focus on modeling complex contextual dependencies in conversation, they often overlook the impact of contextual emotional inertia in emotion shift, leading to suboptimal performance. To address this issue, we propose a novel Emotional Inertia-Informed Supervised Contrastive Learning module (EII-SCL) that informs the contrastive objective by constructing inertia-affected samples within temporal windows, effectively leveraging emotional inertia as a prior while enabling seamless integration with existing MERC models without requiring additional data. Extensive experiments on IEMOCAP and MELD show that our approach consistently outperforms state-of-the-art methods.","Zilong Huang(The Hong Kong Polytechnic University); Kong Aik Lee(The Hong Kong Polytechnic University); Chong-xin Gan(The Hong Kong Polytechnic University); Zezhong Jin(The Hong Kong Polytechnic University); Ruichen Zuo(The Hong Kong Polytechnic University); Man-Wai Mak(The Hong Kong Polytechnic University)","","","","","","","","","","","","","","","","","","",""
