"Session Monday 28 September 2026 - 09:30 - 10:30 - Keynote speaker - Prof John H. L. Hansen Keynote Monday 28 September 2026 - 11:00-13:00 - Area 1 - Oral 1 - Model of Speech Perception","Paper ID ","Time 09:30 - 10:30  ","Paper Title Balancing Speech, Language and Hearing Science with Machine Learning Modeling in the Age of AI: “Know your Problem, Data, and Solution ","Presenting Author ","Abstract ","Authors ","CN tbhead2 bg-c1 tbhead2 bg-c2","","","","","","","","","","","","","","","","","",""
"Poster","2102","11:00-13:00","""Say That Again"": Visualizing Paralinguistic Cues with Prosody-Aware Diffusion","Shyamji Tiwari","Text-to-image models ignore paralinguistic cues. Pitch, rate, and emotional inflection shape how listeners visualize a scene, yet audio-to-image methods treat speech as a single opaque vector. NovaDiffusion conditions diffusion-based synthesis on emotion-correlated prosodic features extracted alongside general audio representations. It comprises (1) Prosody-CLIP, trained on 168K human-annotated speech-emotion-image triplets to align prosody-enriched embeddings with visual representations; (2) a 280M-parameter distilled U-Net with multi-scale fusion; and (3) a decoupled cross-attention adapter injecting prosodic embeddings via IP-Adapter. On RAVDESS (8 emotions, chance 12.5%), NovaDiffusion achieves 71.3% ECA, outperforming SonicDiffusion by 23.1pp; on held-out IEMOCAP speakers it reaches 63.4% vs. 41.7%. ECA relies on facial expression classification and does not capture scene-level emotion. Scope is limited to emotion-correlated prosody; full prosodic control remains open.","Shyamji Tiwari(Independent Researcher)","","","","","","","","","","","","","","","","","","",""
"Poster","1991","11:00-13:00","Can Speech LLMs Approximate Human Ratings of Accentedness and Comprehensibility? Evidence from Correlational and Feature-Based Analyses","Wenwei Dong","Accentedness and comprehensibility scales are widely used to evaluate pronunciation development in second language learners. However, such assessments rely heavily on human rater evaluations. This study investigates whether a speech large language model (LLM) can approximate human judgments of accentedness and comprehensibility. We first compare correlations between LLM scores and human ratings. We then apply linear mixed-effects models to examine whether LLM scores capture learner progress across pre-and post-test conditions. Finally, by combining segmental and suprasegmental measures with Lasso regression, we analyze whether the LLM employs acoustic cues similar to those human raters rely on when assigning scores. The results show that the LLM scores are moderately correlated with human ratings, capture pre-post test progress, and exhibit overlapping features with human evaluations. However, future research could explore fine-tuning the LLM and incorporating linguistic knowledge.","Wenwei Dong(Radboud University); Catia Cucchiarini(Radboud University); Roeland van Hout(Radboud University); Helmer Strik(Radboud University)","","","","","","","","","","","","","","","","","","",""
"Poster","2829","11:00-13:00","Shifting Relational Paradigms for Affective Computing: Affective Resonance, Vitality Affects, and Vocal Interaction Fields","Cy Gorman","Affective computing has largely followed an individual-state paradigm, extracting discrete emotion labels or arousal/valence from isolated speakers. We argue this framing is incomplete for interaction. Drawing on affective resonance and vitality-contour accounts, we propose a relational framework in which the primary unit of affective analysis is the interactional field constituted within vocal dynamics. As a proof of concept, we present a preliminary empirical study using continuous self-supervised speech representations to detect directional expressive coupling in multi-party conversation. Coupling is regime-specific, concentrated at sub-second timescales, and collapses under exclusive-speech negative controls, consistent with a relational account of affective dynamics. We introduce design frameworks for Artificial Affective Resonance Intelligence grounded in Affective Resonance Dynamic Ontologies, supported by null-calibrated directional coupling analyses across interaction regimes.","Cy Gorman(Nurobodi); Yihang Yao(Nurobodi)","","","","","","","","","","","","","","","","","","",""
"Poster","2388","11:00-13:00","P-SED : Asymmetric Prototype Metric Learning for Weakly Supervised Speech Emotion Diarization","Nurmemet Yolwas","Unlike Speech Emotion Recognition (SER), which predicts utterance-level labels, Speech Emotion Diarization (SED) models fine-grained temporal dynamics. However, learning reliable emotion boundaries from utterance-level labels remains challenging due to scarce frame-level annotations. We propose P-SED, a weakly supervised SED framework based on prototype metric learning that constructs a metric space via learnable emotion prototypes and introduces orthogonal regularization to enhance inter-class separability. To mitigate sparse supervision and neutral background interference, we design a Class-aware Prototype Contrastive Loss (CPCL) combined with a Top-K ranking mechanism to mine salient emotion segments. Finally, Total Variation Denoising (TVD) is applied during inference to preserve steep emotion boundaries. Experiments on the ZED dataset show that P-SED significantly outperforms existing weakly supervised models, achieving an Emotion Diarization Error Rate (EDER) of 47.00%.","Yumeng Liu(Xinjiang University); Yukun Sun(Xinjiang University); Jian Peng(Xinjiang University); Lixu Sun(Xinjiang University); Nurmemet Yolwas(Xinjiang University)","","","","","","","","","","","","","","","","","","",""
"Monday 28 September 2026 - 11:00-13:00 - Area 4 - Poster 5 - Spoofing and Deepfake Detection 1","","","","","","","tbhead2 bg-c4","","","","","","","","","","","","","","","","","",""
"Poster","1975","11:00-13:00","Comparing Self-Supervised and Domain-Invariant Features for Cross-Domain Voice Phishing Detection","Jeongmin Lee","Voice phishing detection faces three critical challenges: real criminal recordings are unavailable due to privacy constraints; when available, only a handful of samples exist, insufficient for fine-tuning; and lightweight acoustic-only detection is needed as an alternative to large self-supervised models. We compare domain-invariant prosodic features and self-supervised representations (HuBERT, wav2vec2.0) through cross-domain evaluation--training on scenario-based actor recordings and testing on authentic criminal calls. Domain-invariant prosodic features achieve 69.5% F1 zero-shot and 71.0% with 5-shot learning. HuBERT achieves highest performance (94.2% F1, 5-shot), while wav2vec2.0 exhibits a precision-oriented detection profile (90.2% F1 with 99.4% precision, 5-shot). These findings reveal fundamental trade-offs: domain-invariant features enable zero-shot deployment when no real data exists, while SSL methods achieve higher performance but require real samples and compute.","Jeongmin Lee(Electronics and Telecommunications Research Institute; University of Science and Technology); Seung Yun(Electronics and Telecommunications Research Institute); Minkyu Lee(Electronics and Telecommunications Research Institute); Ran Han(Electronics and Telecommunications Research Institute); Yoonkyu Woo(Electronics and Telecommunications Research Institute; University of Science and Technology); Jinxia Huang(Electronics and Telecommunications Research Institute; University of Science and Technology)","","","","","","","","","","","","","","","","","","",""
"Poster","157","11:00-13:00","Exploring the Scale and Diversity of Speech Anti-spoofing Datasets: Experiments and Analysis","Zhuolin Yi","The scale of speech anti-spoofing datasets has grown exponentially over the past decade, driven by the assumption that larger data leads to better performance. However, it remains unclear whether indiscriminate scaling commensurately improves model generalization. This study challenges the &quot;scale-first&quot; paradigm by decoupling the impacts of training data scale versus diversity. Through experiments on representative datasets, we report two key findings: (1) Larger is not always better. Expanding data scale excessively under fixed generation methods yields negligible returns and may even degrade cross-domain generalization due to overfitting.(2) Diversity outweighs scale. A smaller composite training set featuring diverse attacks significantly outperforms larger-scale datasets with limited diversity in cross-dataset evaluations. We conclude that future dataset construction should prioritize the diversity of generation methods over scale to effectively enhance model generalization.","Zhuolin Yi(Wuhan University); Jun Xue(Wuhan University); Yanzhen Ren(Wuhan University); Yihuan Huang(Wuhan University); Yi Chai(Wuhan University); Daixian Li(Wuhan University); Guanxiang Feng(Wuhan University); Jiajun Liu(Wuhan University)","","","","","","","","","","","","","","","","","","",""
"Poster","831","11:00-13:00","ProSDD: Learning Prosodic Representations for Speech Deepfake Detection against Expressive and Emotional Attacks","Aurosweta Mahapatra","Speech deepfake detection (SDD) systems perform well on standard benchmarks datasets but often fail to generalize to expressive and emotional spoofing attacks. Many methods rely on spoof-heavy training data, learning dataset-specific artifacts rather than transferable cues of natural speech. In contrast, humans internalize variability in real speech and detect fakes as deviations from it. We introduce ProSDD, a two-stage framework that enriches model embeddings through supervised masked prediction of speaker-conditioned prosodic variation based on pitch, voice activity, and energy. Stage I learns prosodic variability from real speech, and Stage II jointly optimizes this objective with spoof classification. ProSDD consistently outperforms baselines under both ASVspoof 2019 and 2024 training, reducing ASVspoof 2024 EER from 25.43% to 16.14% (2019-trained) and from 39.62% to 7.38% (2024-trained), while achieving 50% relative reductions on EmoFake and EmoSpoof-TTS.","Aurosweta Mahapatra(Johns Hopkins University); Ismail Rasim Ulgen(Johns Hopkins University); Kong Aik Lee(Hong Kong Polytechnic University); Nicholas Andrews(Johns Hopkins University); Berrak Sisman(Johns Hopkins University)","","","","","","","","","","","","","","","","","","",""
"Poster","3500","11:00-13:00","Impact Analysis of Speech Representation Learning Models for Acoustic Side-Channel Attack","Orchid Chetia Phukan","Acoustic side-channel attacks (ASCA) on keyboards have gained increasing attention, yet impact of speech representation learning models in ASCA remains unexplored. Addressing this, we introduce KEYAC, a dataset designed to analyze representation generalization for ASCA under both standard and VoIP codec settings. On KEYAC, we evaluate six representation learning models under zero-shot and partial fine-tuning settings using fully connected and convolutional networks. Results show that while partial fine-tuning improves performance, models struggle to generalize across VoIP codecs. We hypothesize this limitation stems from inadequate modeling of nonlinear feature interactions in conventional fine-tuning architectures. To address this, we employ Kolmogorov-Arnold Networks (KAN) for fine-tuning. Empirical results show that KAN-based fine-tuning consistently outperforms the baselines and establishes a new state-of-the-art on KEYAC.","Nitin Choudhury(IIIT-Delhi); Bikrant Bikram Pratap Maurya(IIIT-Delhi); Arun Balaji Buduru(IIIT-Delhi); Orchid Chetia Phukan(NTHU)","","","","","","","","","","","","","","","","","","",""
"Poster","455","11:00-13:00","Ouroboros: Self-Referential Backdoor Attacks on Speech Enhancement via Clean Audio Triggers","Yunjie Zhou","Speech enhancement models are widely deployed as front-end modules in real-time speech services, yet their vulnerability to backdoor attacks remains unexplored. Existing backdoor methods are confined to classification tasks and rely on active trigger injection, an assumption incompatible with the passive processing nature of speech enhancement models. In this paper, we propose Ouroboros, a novel backdoor attack framework that leverages the ideal clean outputs of speech enhancement models as natural triggers, enabling inference-time activation without any external trigger injection. Extensive evaluations show Ouroboros achieves near-perfect attack success rates with minimal performance degradation on diverse models and datasets. Physical-world validations confirm that naturally recorded, unaltered clean audio can reliably activate the backdoor. Moreover, Ouroboros generalizes to targeted content-tampering attacks and remains effective against common filtering and fine-tuning defenses.","Yunjie Zhou(Ningbo University); Yuheng Huang(Ningbo University); Diqun Yan(Ningbo University; Ningbo University of Finance and Economics)","","","","","","","","","","","","","","","","","","",""
"Poster","2069","11:00-13:00","FreqGuard: Leveraging Frequency-Domain Feature Priors for Universal Proactive Voice Defense","Yankai Wang","The rapid development of voice deepfakes poses significant risks to privacy and security. This paper introduces FreqGuard, a universal proactive defense framework designed to protect against malicious speech synthesis attacks. FreqGuard leverages learnable frequency-domain feature priors to generate imperceptible perturbations that effectively disrupt voice synthesis systems. Unlike methods based on random noise, FreqGuard explores frequency operations to obtain priors that degrade speaker embeddings while minimizing perceptual distortion. These priors guide model training to target the shared subspace between verification and synthesized features. By jointly optimizing multiple losses, FreqGuard achieves high imperceptibility and low speaker similarity. Experimental results show that FreqGuard reduces attack success rates against black-box TTS systems while preserving speech quality, achieving favorable cross-model generalization and perceptual quality compared with existing methods.","Yankai Wang(Beijing Fosafer Information Technology Co., Ltd.); Zhipeng Chen(Beijing Fosafer Information Technology Co., Ltd.); Yuxuan Du(Beijing Fosafer Information Technology Co., Ltd.); Rong Zheng(Beijing Fosafer Information Technology Co., Ltd.); Jing Deng(Beijing Fosafer Information Technology Co., Ltd.)","","","","","","","","","","","","","","","","","","",""
"Poster","3019","11:00-13:00","SEA-Spoof: Bridging the Gap in Multilingual Audio Deepfake Detection for South-East Asia","Jinyang Wu","The rapid growth of the digital economy in South-East Asia (SEA) has amplified the risks of audio deepfakes, yet existing datasets provide limited coverage of SEA languages, hindering robust detection. We present SEA-Spoof, the first large-scale audio deepfake detection dataset dedicated to six SEA languages: Tamil, Hindi, Thai, Indonesian, Malay, and Vietnamese. SEA-Spoof contains over 700 hours of paired real and spoof speech generated by diverse state-of-the-art open-source and closed-source systems. Its balanced, transcript aligned design enables controlled language and system level evaluation. Benchmarking reveals severe cross-lingual degradation of models trained on high resource languages, while fine-tuning on SEA-Spoof restores performance across languages and synthesis sources. SEA-Spoof establishes a foundation for robust, cross-lingual and region-aware deepfake detection in SEA.","Jinyang Wu(A*STAR); Nana Hou(Nanyang Technological University); Zihan Pan(A*STAR); Qiquan Zhang(The University of New South Wales); Sailor Hardik(A*STAR); Soumik Mondal(A*STAR)","","","","","","","","","","","","","","","","","","",""
"Poster","345","11:00-13:00","When Spoof Detectors Travel: Evaluation Across 66 Languages in the Low-Resource Language Spoofing Corpus","Kirill Borodin","We introduce LRLspoof, a large-scale multilingual synthetic-speech corpus for cross-lingual spoof detection, comprising 2,732 hours of audio generated with 24 open-source TTS systems across 66 languages, including 45 low-resource languages under our operational definition. To evaluate robustness without requiring target-domain bona fide speech, we benchmark 11 publicly available countermeasures using threshold transfer: for each model we calibrate an EER operating point on pooled external benchmarks and apply the resulting threshold, reporting spoof rejection rate (SRR). Results show model-dependent cross-lingual disparity, with spoof rejection varying markedly across languages even under controlled conditions, highlighting language as an independent source of domain shift in spoof detection. The dataset is publicly available at https://huggingface.co/datasets/lab260/LRLspoof and https://modelscope.cn/datasets/lab260/LRLspoof.","Kirill Borodin(Moscow Technical University of Communications and Informatics; BitmanagerAI); Vasiliy Kudryavtsev(Moscow Technical University of Communications and Informatics; BitmanagerAI); Maxim Maslov(Moscow Technical University of Communications and Informatics); Mikhail Gorodnichev(Moscow Technical University of Communications and Informatics); Grach Mkrtchian(Moscow Technical University of Communications and Informatics)","","","","","","","","","","","","","","","","","","",""
"Poster","1187","11:00-13:00","MultiAPI Spoof: A Multi-API Dataset and Local-Attention Network for Speech Anti-spoofing Detection","Xueping Zhang","Existing speech anti-spoofing benchmarks rely on a narrow set of public models, creating a substantial gap from real-world scenarios in which commercial systems employ diverse, often proprietary APIs. To address this issue, we introduce Multi-API Spoof, a multi-API audio anti-spoofing dataset comprising about 230 hours of synthetic speech generated by 30 distinct APIs, including commercial services, open-source models, and online platforms. Furthermore, we propose Nes2Net-LA, a local-attention enhanced variant of Nes2Net that improves local context modeling and fine-grained spoofing feature extraction. Based on this dataset, we also define the API tracing task, enabling fine-grained attribution of spoofed audio to its generation source. Experiments show that Nes2Net-LA achieves state-of-the-art performance and offers superior robustness, particularly under diverse and unseen spoofing conditions. Code 1 and dataset 2 have been released.","Xueping Zhang(Duke Kunshan University); Zhenshan Zhang(Duke Kunshan University); Yechen Wang(OfSpectrum, Inc.); Linxi Li(OfSpectrum, Inc.); Liwei Jin(OfSpectrum, Inc.); Ming Li(Duke Kunshan University; The Chinese University of Hong Kong)","","","","","","","","","","","","","","","","","","",""
"Poster","582","11:00-13:00","Aleatoric Style Uncertainty Augmentation with GMM for Domain Generalization in Anti-spoofing","Jin Li","Speech anti-spoofing systems often degrade in out-of-domain (OOD) settings due to varied unknown spoofing attacks. Domain generalization (DG) methods address this by improving model robustness across diverse domains. Style augmentation is a DG approach that synthesizes new features by modeling domain-shift uncertainty using feature statistics learned during training. However, previous style augmentation methods rely on a single batch-level uncertainty by assuming a unimodal style distribution, which may not hold in mixed domain batches. To address this issue, we propose Gaussian mixture model (GMM) based aleatoric style uncertainty (ASU) to model within-component variability. In addition, we proposed an online EM-like update for the GMM in an end-to-end way. Extensive experiments on anti-spoofing and spoofing-aware speaker verification (SASV) show that ASU significantly outperforms existing methods and surpasses state-of-the-art systems. Code is available at GitHub.","Jin Li(The Hong Kong Polytechnic University); Man-Wai Mak(The Hong Kong Polytechnic University); Johan Rohdin(Brno University of Technology); Oldřich Plchot(Brno University of Technology); Kong Aik Lee(The Hong Kong Polytechnic University); Bo Wen(Shenzhen Zhuiyi Technology); Yunfeng Liu(Shenzhen Zhuiyi Technology)","","","","","","","","","","","","","","","","","","",""
"Monday 28 September 2026 - 11:00-13:00 - Area 5 - Poster 3 - Evaluation of Speech and Audio Analysis","","","","","","","tbhead2 bg-c4","","","","","","","","","","","","","","","","","",""
"Poster","514","11:00-13:00","Membership Inference Attacks against Large Audio Language Models","Jia-Kai Dong","We present the first systematic membership inference attack (MIA) evaluation of LALMs. Using Multi-modal Blind Baselines based on textual, spectral and prosodic features, we demonstrate that common audio datasets exhibit near-perfect train/test separability (AUC ≈ 1.0) even without model inference, thus MIA may primarily detect distribution shift. We therefore introduce a blind-baseline protocol to control for this confound. Under this protocol, we identify that the distribution-matched datasets enable reliable MIA evaluation without distribution-shift artifacts. We benchmark multiple MIA methods and conduct modality disentanglement experiments on these datasets. The results reveal that LALM memorization is cross-modal, arising only from binding a speaker's vocal identity with its text. These findings establish a principled standard for auditing LALMs beyond spurious correlations. Our codebase is available at https://github.com/snooow1029/ALM_MIA.","Jia-Kai Dong(National Taiwan University); Yu-Xiang Lin(National Taiwan University); Hung-yi Lee(National Taiwan University; NTU Artificial Intelligence Center of Research Excellence)","","","","","","","","","","","","","","","","","","",""
"Poster","912","11:00-13:00","Listening Like a Judge: A Music-Aware Framework for Automatic Singing Performance Evaluation","Sourav Ghosh","Automatic singing quality assessment (SQA) requires evaluating lyrical correctness and musical fidelity while handling expressive variations. However, existing systems largely rely on either acoustic cues or lyric transcriptions exclusively, limiting holistic performance evaluation. Furthermore, their integration is non-trivial due to challenges in robust singing transcription amid melisma, vibrato, and tempo elasticity. To this end, we propose MUSICJUDGE, a modality-guided framework for automated SQA that performs block-aligned multimodal analysis by coupling lyric correctness with pitch-rhythm fidelity. It detects semantically meaningful lyric blocks using multi-signal matching that integrates semantic embeddings, lexical similarity, and phonetic alignment. To improve singing audio transcription, we introduce Modality-Guided LoRA for ASR fine-tuning. Experiments across datasets demonstrate strong agreement with human expert judgments and validate the generalizability of MUSICJUDGE.","Neelam Saini(Samsung R&D Institute Bangalore); Sourav Ghosh(Samsung R&D Institute Bangalore)","","","","","","","","","","","","","","","","","","",""
"Poster","914","11:00-13:00","ELSA: Acoustic Event-Level Semantic Alignment for Fine-Grained Reference-Free Text-to-Audio Evaluation","Shuntaro Suzuki","Text-to-audio (TTA) generation, synthesizing audio from natural language, has been widely studied for its ability to capture precise user intent. To effectively advance TTA models, it is essential to reliably evaluate generated audio without relying on costly human subjective ratings, motivating the development of automatic evaluation metrics that correlate well with human judgments. While recent CLAP-based metrics provide practical reference-free solutions, their coarse-grained text–audio similarity matching often correlates poorly with human ratings. To address this, we propose ELSA, a reference-free evaluation metric for fine-grained text–audio alignment. ELSA decomposes generated audio guided by distinct acoustic events derived from the text query and assesses event-level alignment. Experiments across four TTA benchmarks show that ELSA reveals a higher correlation with human subjective ratings than prior metrics, highlighting its effectiveness for reliable TTA evaluation.","Shuntaro Suzuki(Keio University); Kento Tokura(Keio University); Daichi Yashima(Keio University); Kanon Amemiya(Keio University); Komei Sugiura(Keio University, Japan); Shinnosuke Takamichi(Keio University, Japan)","","","","","","","","","","","","","","","","","","",""
"Poster","1512","11:00-13:00","PrefSQA: Pairwise Preference Prediction for Speech Quality Assessment and the Critical Role of High Quality Datasets","Junyi Fan","Mean opinion scores (MOS) are widely used for speech quality assessment, yet scalar labels are sensitive to rater variability and listening test differences. This introduces labeling noise, which limits the reliability of MOS prediction. Preference prediction reduces this variability as listeners compare signals directly, producing cleaner labels. We study MOS-free preference prediction and propose PrefSQA, which incorporates uncertainty-aware logits, an impairment attention head, and a module based on non-matching-reference comparisons. We use and refine five datasets, including MOS-derived and low-noise simulated sets with matching and non-matching content, experiment with human preference sets, and test on unseen data. Experiments show small improvements on MOS-derived data, while other sets reveal clear improvement over the baselines, highlighting the value of high-quality preference data and demonstrating the effectiveness of the proposed method.","Junyi Fan(The Ohio State University); Donald S. Williamson(The Ohio State University)","","","","","","","","","","","","","","","","","","",""
"Poster","1517","11:00-13:00","UG-Bench: A Comprehensive Benchmark for Evaluating Large Audio-Language Models","Hui Wang","Evaluating Large Audio-Language Models (LALMs) is challenging due to the diverse speech and audio tasks. Existing benchmarks often lack a unified framework, focusing either on understanding or generation. We introduce UG-Bench, a comprehensive benchmark systematically assessing LALMs across four competencies: speech perception, audio perception, speech generation, and spoken language understanding. Its decoupled design enables standardized comparisons and supports new tasks. Evaluating 11 LALMs and 5 specialized speech generation models, we find significant gaps in instruction following and generation quality, underscoring the need for better semantic understanding. UG-Bench offers a unified, scalable evaluation framework to advance LALM research.","Jiaming Zhou(Nankai University); Haoqin Sun(Nankai University); Hui Wang(Nankai University); Jinghua Zhao(Nankai University); Yuhang Jia(Nankai University); Shiyao Wang(Nankai University); Enzhi Wang(Nankai University); Shiwan Zhao(Nankai University); Yong Qin(Nankai University)","","","","","","","","","","","","","","","","","","",""
"Poster","1607","11:00-13:00","A Fine-Grained Acoustically-Aware Pre-training Encoder for Speech Quality Assessment","Donald S. Williamson","Self-supervised learning (SSL) has become popular in speech processing because it generalizes well across downstream tasks. However, many SSL methods focus on capturing long-term contextual and speaker information, often making their representations invariant to background acoustics, which is an issue for speech quality assessment as it depends heavily on non-speech and fine-grained acoustic cues. These models also tend to be parameter heavy, limiting their use on resource constrained devices. In this work, we introduce an encoder that incorporates acoustic detail by combining local spectral-temporal modeling, a frame wise spectral relationship aggregator, and explicit noise and reverberation information alongside speech content. Using this pre-training framework for speech quality assessment across multiple datasets, we show that the encoder effectively extracts fine-grained acoustic features and achieves performance comparable to much larger models.","Subrina Sultana(Ohio State University); Donald S. Williamson(Ohio State University)","","","","","","","","","","","","","","","","","","",""
"Poster","1621","11:00-13:00","VoxEffects: A Speech-Oriented Audio Effects Dataset and Benchmark","Zhe Zhang","Speech audio in the wild is often processed by post-production effects, but existing speech datasets rarely provide precise annotations of effects and parameters, limiting systematic study. We introduce VoxEffects, a speech audio effects dataset that pairs produced speech with exact effect-chain supervision at multiple granularities. VoxEffects supports speech-oriented audio effect identification: given a produced waveform, infer which effects are present and how they are applied. Built from minimally edited clean speech, it provides an extensible rendering pipeline for both offline synthesis and on-the-fly rendering for efficient training and evaluation. The audio effect identification benchmark includes effect presence detection, preset classification, number-of-active-effects prediction, and intensity prediction, with a robustness protocol covering capture-side and platform-side degradations. We provide an AudioMAE-based multi-task baseline and analyses of domain shift, robustness, input duration, and gender fairness.","Zhe Zhang(National Institute of Informatics, Japan); Yigitcan Özer(National Institute of Informatics, Japan); Junichi Yamagishi(National Institute of Informatics, Japan)","","","","","","","","","","","","","","","","","","",""
"Poster","1809","11:00-13:00","Evaluating Objective Speech Quality Metrics for Neural Audio Codecs","Luca A. Lanzendöerfer","Neural audio codecs have gained recent popularity for their use in generative modeling as they offer high-fidelity audio reconstruction at low bitrates. While human listening studies remain the gold standard for assessing perceptual quality, they are time-consuming and impractical. In this work, we examine the reliability of existing objective quality metrics in assessing the performance of recent neural audio codecs. To this end, we conduct a MUSHRA listening test on high-fidelity speech signals and analyze the correlation between subjective scores and widely used objective metrics. Our results show that, while some metrics align well with human perception, others struggle to capture relevant distortions. Our findings provide practical guidance for selecting appropriate evaluation metrics when using neural audio codecs for speech.","Luca A. Lanzendöerfer(ETH Zurich); Florian Gröetschla(ETH Zurich); Roger Wattenhofer(ETH Zurich)","","","","","","","","","","","","","","","","","","",""
"Poster","2362","11:00-13:00","Calibration-Reasoning Framework for Descriptive Speech Quality Assessment","Milos Cernak","Explainable speech quality assessment requires moving beyond Mean Opinion Scores (MOS) to analyze underlying perceptual dimensions. To address this, we introduce a novel post-training method that tailors the foundational Audio Large Language Model for multidimensional reasoning, detection and classification of audio artifacts. First, a calibration stage aligns the model to predict predefined perceptual dimensions. Second, a reinforcement learning stage leverages Group Relative Policy Optimization (GRPO) with dimension-specific rewards to heavily enhance accuracy of descriptions and temporal localization of quality issues. With this approach we reach state-of-the-art results of 0.71 mean PCC score on the multidimensional Qual-iSpeech benchmark and 13% improvement in MOS prediction driven by RL-based reasoning. Furthermore, our fine-grained GRPO rewards substantially advance the model's ability to pinpoint and classify audio artifacts in time.","Elizaveta Kostenok(EPFL; Logitech); Mathieu Salzmann(EPFL); Milos Cernak(Logitech)","","","","","","","","","","","","","","","","","","",""
"Poster","2960","11:00-13:00","CAL-MOS: Bridging Layers with Adapters for Robust MOS Prediction Across Speech Foundation Models","Alef Iury Ferreira","Speech Quality Assessment (SQA) is essential for modern speech technologies, and recent non-intrusive SQA predictors increasingly rely on Speech Foundation Models (SFMs). However, because SFMs expose representations from many layers, it remains unclear which depths are most informative for MOS prediction and how multi-layer information should be combined reliably across backbones and datasets. We benchmark ten SFMs on four MOS datasets under three regimes: full fine-tuning, last-layer probing with a frozen encoder, and naive cross-layer weighted aggregation. We find that the best layer is strongly backbone- and dataset-dependent, and that naive weighted fusion can be unstable across settings. We further evaluate a layer-calibrated aggregation variant that applies per-layer adapters before pooling, which improves the robustness of multi-layer fusion and narrows the gap to full fine-tuning while keeping the backbone frozen.","Alef Iury Ferreira(AKCIT; Federal University of Goiás); Pedro Botelho(AKCIT); Fernanda Silva(AKCIT; Federal University of Rio Grande do Norte); Daniel Casanova(AKCIT; Federal University of Technology); Rafael Faustino(AKCIT; Federal University of Rio Grande do Norte); Frederico Oliveira(AKCIT; Federal University of Goiás); Arlindo Galvão Filho(AKCIT; Federal University of Goiás); Anderson da Silva Soares(AKCIT; Federal University of Goiás)","","","","","","","","","","","","","","","","","","",""
"Poster","3025","11:00-13:00","AnimeScore: A Preference-Based Dataset and Framework for Evaluating Anime-Like Speech Style","Joonyong Park","Evaluating 'anime-like' voices currently relies on costly subjective judgments, yet no standardized objective metric exists. A key challenge is that anime-likeness, unlike naturalness, lacks a shared absolute scale, making conventional Mean Opinion Score (MOS) protocols unreliable. To address this gap, we propose AnimeScore, a preference-based framework for automatic anime-likeness evaluation via pairwise ranking. We collect 15,000 pairwise judgments from 187 evaluators with free-form descriptions, and acoustic analysis reveals that perceived anime-likeness is driven by controlled resonance shaping, prosodic continuity, and deliberate articulation rather than simple heuristics such as high pitch. We show that handcrafted acoustic features reach a 69.3% AUC ceiling, while SSL-based ranking models achieve up to 90.8% AUC, providing a practical metric that can also serve as a reward signal for preference-based optimization of generative speech models.","Joonyong Park(Spellbrush); Jerry Li(Spellbrush)","","","","","","","","","","","","","","","","","","",""
"Poster","3055","11:00-13:00","Exploiting Neural Audio Codec Latents for Adversarial Audio Attacks","Ajita Rattani","Deep learning–based audio classification systems, including automatic speaker verification, are vulnerable to adversarial attacks. Realistic real-time threat assessment remains difficult because optimization-based methods, such as projected gradient descent (PGD) and Carlini–Wagner, require costly iterative updates in the high-dimensional waveform domain. Generative attacks allow single-shot synthesis but often introduce perceptible artifacts or depend on computationally intensive architectures, while diffusion and autoregressive approaches incur high inference latency. To address this gap, we propose a generative attack framework operating in the continuous latent space of a neural audio codec. A conditional generator synthesizes class-specific perturbations in a single forward pass and decodes them into adversarial waveforms. Our method achieves targeted attack success rates up to 99% with sub-7 ms inference, outperforming generative baselines while reducing latency by 24×.","Sameek Bhattacharya(University of North Texas); Bharath Krishnamurthy(University of North Texas); Ajita Rattani(University of North Texas)","","","","","","","","","","","","","","","","","","",""
"Poster","3185","11:00-13:00","AURA Score: A Metric for Holistic Audio Question Answering Evaluation","Satvik Dixit","Audio Question Answering (AQA) is a key task for evaluating Audio-Language Models (ALMs), yet assessing open-ended responses remains challenging. Existing metrics used for AQA such as BLEU, METEOR and BERTScore, mostly adapted from NLP and audio captioning, rely on surface similarity and fail to account for question context, reasoning, and partial correctness. To address the gap in literature, we make three contributions in this work. First, we introduce AQEval to enable systematic benchmarking of AQA metrics. It is the first bench-mark of its kind, consisting of 10k model responses annotated by multiple humans for their correctness and relevance. Second, we conduct a comprehensive analysis of existing AQA metrics on AQEval, highlighting weak correlation with human judgment, especially for longer answers. Third, we propose a new metric, AURA score, to better evaluate open-ended model responses. On AQEval, AURA achieves state-of-the-art correlation with human ratings, significantly outperforming all base-lines. Through this work, we aim to highlight the limitations of current AQA evaluation methods and motivate better metrics. We release both the AQEval benchmark and the AURA metric to support future research in holistic AQA evaluation.","Satvik Dixit(CMU); Soham Deshmukh(CMU); Bhiksha Raj(CMU)","","","","","","","","","","","","","","","","","","",""
