"Session Monday 28 September 2026 - 09:30 - 10:30 - Keynote speaker - Prof John H. L. Hansen Keynote Monday 28 September 2026 - 11:00-13:00 - Area 1 - Oral 1 - Model of Speech Perception","Paper ID ","Time 09:30 - 10:30  ","Paper Title Balancing Speech, Language and Hearing Science with Machine Learning Modeling in the Age of AI: “Know your Problem, Data, and Solution ","Presenting Author ","Abstract ","Authors ","CN tbhead2 bg-c1 tbhead2 bg-c2","","","","","","","","","","","","","","","","","",""
"Oral","3203","12:00-12:20","Toward Open-Set Speaker Attribute Prediction with Keyword-Appended LLM Embeddings","Byoungjun So","Understanding speaker attributes is crucial for voice-related applications, yet conventional approaches rely on fixed categorical labels, lacking semantic richness and zero-shot generalizability. We propose a novel framework for open-set speaker attribute prediction leveraging Large Language Model (LLM) embed-dings to represent attributes in a continuous semantic space. To bridge the cross-modal gap, we introduce a keyword-appending strategy that structures broad semantic representations into a compact, discriminative manifold. Furthermore, we employ a top-k negative loss to establish robust decision boundaries in crowded semantic regions. Experimental results on LibriTTS-P demonstrate that our method outperforms closed-set benchmarks and generalizes effectively to unseen synonyms. Geometric analysis suggests that our strategies regularize the embedding manifold, balancing semantic cohesion with predictive clarity.","Byoungjun So(Seoul National University); Jaejun Lee(Seoul National University); Kyogu Lee(Seoul National University)","","","","","","","","","","","","","","","","","","",""
"Oral","942","12:20-12:40","Rethinking Speaker Embeddings for Speech Generation: Sub-Center Modeling for Capturing Intra-Speaker Diversity","Ismail Rasim Ulgen","Modeling speech variation is key to natural, expressive generation. Speaker embeddings are commonly used to condition personalized speech systems, but they are typically trained for speaker recognition, where intra-speaker variability is suppressed and inter-speaker separation is maximized. This objective leads to overly compact representations that may discard variations crucial for generation. We revisit this design choice and propose a sub-center modeling framework for speaker embeddings. Instead of a single prototype per speaker, we learn multiple sub-centers during discriminative training, allowing utterances to align with different prototypes. This strategy preserves structured intra-speaker variability while maintaining discriminability. In zero-shot voice conversion, our method improves intelligibility, increases pitch variability, achieves higher naturalness ratings, and retains strong speaker verification performance.","Ismail Rasim Ulgen(Johns Hopkins University); John L. Hansen(The University of Texas at Dallas); Carlos Busso(Carnegie Mellon University); Berrak Sisman(Johns Hopkins University)","","","","","","","","","","","","","","","","","","",""
"Oral","64","12:40-13:00","NoiseLoRA-SV: Hierarchical Noise-Conditioned Adaptation with Embedding Distillation for Robust Speaker Verification","Dai Gao","Current speaker verification (SV) models, including Low-Rank Adaptation (LoRA) variants, rely on static inference-time parameters and show limited robustness to non-stationary noise. We propose NoiseLoRA-SV, a dynamic framework that generates instance-adaptive weights on-the-fly during inference. Instead of full end-to-end fine-tuning, it injects noise-conditioned LoRA modules into a lightly fine-tuned backbone with moderate additional parameter overhead. A Convolutional Recurrent Network (CRN) extracts hierarchical noise representations: global embeddings drive a hypernetwork to generate LoRA matrices, while local embeddings control a frame-level time-varying gate. Optimized via InfoNCE-based contrastive distillation, NoiseLoRA-SV aligns noisy embeddings with clean speaker representations. Evaluated on the VoxCeleb1 corpus with MUSAN and unseen NonSpeech100 noises, NoiseLoRA-SV consistently yields lower equal error rates (EERs) than static baselines.","Dai Gao(Soochow University); Chen Jiang(Beijing Jiaotong University); Sizhe Liu(Renmin University of China); Peng Zhang(Qilu University of Technology)","","","","","","","","","","","","","","","","","","",""
"Monday 28 September 2026 - 11:00-13:00 - Area 5 - Oral 1 - Spatial Audio 1","","","","","","","tbhead2 bg-c2","","","","","","","","","","","","","","","","","",""
"Oral","224","11:00-11:20","Ada-Mic: Orientation-Adaptive and Robust Close-to-Mic Speech Detection on Smartphone Using Generalized Cross-Correlation Features","Irina Kezele","We introduce Ada-Mic, a method for adaptive close-to-mic speech detection that allows for flexible orientation ranges of the smartphone. Our method uses Generalized Cross-Correlation features as an auxiliary spatial signal that implicitly encodes the Direction-of-Arrival of speech signals to the smartphone, disentangling features for distance from those relating to orientation. It is a lightweight module that can be easily integrated into existing close-to-mic speech detectors, adding little to negligible amounts of extra computation. Our results show up to 24% improvement in accuracy over prior works for challenging distances and orientations, and demonstrates strong robustness to background noise. Ada-Mic advances the goal of No-Hot-Word wakening, enabling more natural interactions with users.","Stuart Fong(Huawei Technologies); Sky Qiao(Huawei Technologies); Xuecong Sun(Huawei Technologies); Seyed Shahabeddin Nabavi(Huawei Technologies); Huanzhang Zhu(Huawei Technologies); Jinran Zhu(Huawei Technologies); Siqi Zhang(Huawei Technologies); Amirhossein Hajavi(Huawei Technologies); Rasoul Mohammadi Nasiri(Huawei Technologies); Shuangliang Sun(Huawei Technologies); Longshuai Xiao(Huawei Technologies); Yuanhao Yu(Huawei Technologies); Irina Kezele(Huawei Technologies)","","","","","","","","","","","","","","","","","","",""
"Oral","370","11:20-11:40","Robust Multi-Source-Free Domain Adaptation via Posterior Adjustment and Label Agreement","Hoyoung Yoon","How can we adapt acoustic scene classification (ASC) models to an unlabeled target domain in the absence of original source data? This challenge is critical in real-world ASC, where device heterogeneity (e.g., varying microphone frequency responses) severely degrades adaptation performance. While Multi-Source-Free Domain Adaptation (MSFDA) offers a privacy-compliant solution, effective aggregation is hindered by inconsistent prediction biases and unknown acoustic similarities between source and target devices. We propose FᴀSᴏLᴀ, a robust MSFDA framework designed to mitigate device heterogeneity by integrating posterior adjustment to correct bias through alignment with the estimated target priors, and label agreement to prioritize reliable models based on prediction consistency. Experimental results indicate that FᴀSᴏLᴀ effectively handles multi-domain shifts and significantly improves adaptation performance.","Hoyoung Yoon(Seoul National University); U Kang(Seoul National University)","","","","","","","","","","","","","","","","","","",""
"Oral","702","11:40-12:00","HRIR-Former: Grid-Free Time-Domain Reconstruction of Head-Related Impulse Responses with a Spatially Encoded Transformer","Shaoheng Xu","Individualized head-related impulse responses (HRIRs) enable binaural rendering, but dense per-listener measurements are costly. We address HRIR spatial up-sampling from sparse per-listener measurements: given a few measured HRIRs for a listener, predict HRIRs at unmeasured target directions. Prior learning methods often work in the frequency domain, rely on minimum-phase assumptions or separate timing models, and use a fixed direction grid, which can degrade temporal fidelity and spatial continuity. We propose HRIR-Former, a time-domain, grid-free binaural Transformer for reconstructing HRIRs at arbitrary directions from sparse inputs. It uses sinusoidal spatial features, a Conv1D refinement module, and auxiliary interaural time difference (ITD) and interaural level difference (ILD) heads. On SONICOM, it improves normalized mean squared error (NMSE), cosine distance, and ITD/ILD errors over prior methods; ablations validate modules and show minimum-phase preprocessing is unnecessary.","Shaoheng Xu(The Australian National University); Chunyi Sun(The Australian National University); Jihui (Aimee) Zhang(The University of Queensland); Amy Bastine(The Australian National University); Prasanga N. Samarasinghe(The Australian National University); Thushara D. Abhayapala(The Australian National University); Hongdong Li(The Australian National University)","","","","","","","","","","","","","","","","","","",""
"Oral","1391","12:00-12:20","HRTF Personalization via Sim-to-Real Neural Field","Yoshiki Masuyama","High-fidelity immersive audio experiences demand personalized head-related transfer functions (HRTFs), because generic HRTFs yield inaccurate perceptual localization. Neural fields (NFs) that take the sound source direction together with a compact set of subject-specific parameters to generate personalized HRTFs have achieved accurate HRTF spatial upsampling. These parameters are typically optimized from measured HRTFs, which requires an intricate measurement process in an anechoic chamber. Towards more accessible HRTF personalization, we propose a sim-to-real NF (S2RNF) that converts HRTFs simulated from an individual's 3D head mesh into their realistic counterparts. Specifically, we infer S2RNF's subject-specific parameters from the simulated HRTFs, and use those parameters to predict the realistic HRTFs. Our experiments confirm that S2RNF outperforms the original simulations and existing sim-to-real methods.","Yoshiki Masuyama(MERL); Gordon Wichern(MERL); Christoph Boeddeker(MERL); Julius Richter(MERL); Takahiro Edo(MERL); Swapnil Bhosale(MERL; University of Surry); Jonathan Le Roux(MERL)","","","","","","","","","","","","","","","","","","",""
"Oral","1618","12:20-12:40","BiEAR: A Human Auditory-Inspired Adaptive Binaural Front-end for Multi-Speaker Localisation and Distance Estimation","Hanyu Meng","We present BiEAR, a human auditory-inspired adaptive binaural front-end for multi-speaker localisation and distance estimation. Inspired by medial olivocochlear (MOC) feedback in human hearing, BiEAR uses a neural controller to adaptively adjust the frequency selectivity of a binaural auditory filterbank during inference. This yields time-frequency adaptive representations for ears, enabling the model to respond to changing acoustic conditions. We evaluate BiEAR on multi-speaker localisation and distance estimation in anechoic and real-room environments. Results show that the adaptive front-end improves localisation accuracy and robustness to unseen speakers and rooms compared with commonly used fixed binaural front-ends. Visualisation and analysis of learned filter adaptations show that BiEAR emphasises informative frequency bands over time. These findings suggest that adaptive, biologically inspired binaural front-ends can improve machine hearing robustness in complex acoustic scenes.","Hanyu Meng(UNSW Sydney); Eliathamby Ambikairajah(UNSW Sydney); Vidhyasaharan Sethu(UNSW Sydney); Qiquan Zhang(Alibaba Group); Haizhou Li(CUHK-Shenzhen)","","","","","","","","","","","","","","","","","","",""
"Oral","2156","12:40-13:00","End-Fire Degradation-Robust DOA Estimation for Compact Linear Microphone Arrays","Zheng Wen","Direction-of-arrival (DOA) estimation with compact linear microphone arrays exhibits pronounced performance degradation when the source is located near end-fire directions. Through theoretical analysis, we show that this degradation arises from an ill-conditioned nonlinear mapping between time-difference-of-arrival (TDOA) and azimuth under the far-field plane-wave model, where small TDOA perturbations near end-fire directions can be amplified into large angular errors. Based on this analysis, we propose two improved methods within a reliability-aware phase transform framework: a weighting-enhanced steered response power (SRP) approach and a refined TDOA estimation scheme. In addition, we collect a real-world dataset to enable quantitative evaluation of DOA estimation performance near end-fire directions. Experimental results demonstrate that the proposed methods significantly outperform the baseline methods. The code and dataset are publicly available at https://github.com/WwHhYy666/ULA_End_ Fire_Robust_ASL.","Zheng Wen(Wuhan University); Huayang Wang(Wuhan University); Zhongxin Bai(Harbin Engineering University); Xin Guo(Wuhan University); Gongping Huang(Wuhan University); Qiqi Tong(Guangdong Murora Intelligent Lighting Co., Ltd); Yaling Zhang(Guangdong Murora Intelligent Lighting Co., Ltd)","","","","","","","","","","","","","","","","","","",""
