"Session Thursday 1 October 2026 - 09:00-11:00 - Area 1 - Oral 4 - Modeling Articulation Survey Talk","Paper ID Surv-01-1","Time 09:00-09:40","Paper Title Bio-Informed Speech Processing, Modeling, and Generation","Presenting Author Yu Tsao","Abstract Conventional speech technologies rely primarily on acoustic signals, without explicitly accounting for the biological mechanisms underlying human speech production and perception. This survey examines bio-informed speech processing, modeling, and generation by integrating physiological signals with modern machine learning. We investigate how multimodal articulatory dynamics can enable robust motor-control representations and silent-speech interfaces. We further explore how neural markers and individualized hearing profiles can guide perceptual optimization, enhance speech quality, and maximize intelligibility. Grounding computational models in articulatory, muscular, and neuroauditory mechanisms establishes a transformative paradigm for next-generation assistive hearing devices, speech synthesis, and personalized communication systems across diverse speakers, communication environments, clinical needs, and application scenarios.","Authors ","CN tbhead2 bg-c2 ","","","","","","","","","","","","","","","","","",""
"Oral","3181","10:40-11:00","Privacy-Preserving End-to-End Full-Duplex Speech Dialogue Models","Nikita Kuzmin","End-to-end full-duplex speech models feed user audio through an always-on LLM backbone, yet the speaker privacy implications of their hidden representations remain unexamined. Following the VoicePrivacy 2024 protocol with a lazy-informed attacker, we show that the hidden states of SALM-Duplex and Moshi leak substantial speaker identity across probed transformer layers. Layer-wise and turn-wise analyses reveal that leakage persists across these layers, with SALM-Duplex showing stronger leakage in early layers while Moshi leaks uniformly, and that Linkability rises sharply in the first few turns. We propose two streaming anonymization setups using Stream-Voice-Anon: a waveform-level front-end (Anon-W2W) and a feature-domain replacement (Anon-W2F). Anon-W2F raises EER over 3.5× relative to the discrete encoder baseline (11.2%→41.0%), approaching the 50% chance ceiling, while Anon-W2W retains 78-93% of baseline sBERT across setups with sub-second first response latency (FRL under 0.8 s).","Nikita Kuzmin(NTU; A*STAR); Tao Zhong(Huawei; CUHK); Jiajun Deng(Huawei); Yingke Zhu(Huawei); Tristan Tsoi(Huawei); Tianxiang Cao(Huawei); Simon Lui(Huawei); Kong Aik Lee(Hong Kong PolyU); Eng Siong Chng(NTU)","","","","","","","","","","","","","","","","","","",""
"Thursday 1 October 2026 - 09:00-11:00 - Area 5 - Oral 7 - Speech signal analysis","","","","","","","tbhead2 bg-c2","","","","","","","","","","","","","","","","","",""
"Survey Talk","","09:00-09:40","Factorization and Latent Structure in Speech Representations","Matthew Wiesner","Structure in speech representations facilitates controlled generation, transfer to new domains, and analysis of model behavior. This talk surveys methods for imposing and discovering structure in speech representations. We give an overview of top-down techniques for imposing structure on learned representations, including the use of factorized training objectives, model distillation, and explicit bottlenecks or interpretable control variables. We discuss the advantages and limitations of this approach and contrast them with bottom-up techniques, including probing, controlled perturbations, latent-space arithmetic, and resynthesis, for discovering and exploiting pre-existing structure in large pre-trained models. We conclude by discussing applications enabled by such structure, including controllable generation and editing, voice conversion, domain transfer, efficient speech modeling, and the separation or attribution of multiple speakers.","","","","","","","","","","","","","","","","","","","",""
"Oral","296","09:40-10:00","Multilingual Word-Level Forced Alignment with Self-Supervised Representations and Learned Dynamic Programming","Joseph Keshet","We present a method for accurate multilingual word-level forced alignment, consisting of an alignment encoder and a learned alignment decoder. The encoder integrates two representations: one from the Massively Multilingual Speech (MMS) model and another from a self-supervised phoneme boundary detector (UnSupSeg). It learns to fuse them and to estimate word-boundary probabilities over long temporal contexts. The alignment decoder is a learned dynamic programming that combines encoder outputs with segmental features over the MMS and UnSupSeg representations to infer final word boundaries. Trained iteratively on TIMIT and Buckeye, the proposed approach outperforms Montreal Forced Aligner (MFA) and MMS-based alignment on both datasets. On unseen languages (Dutch, German, and Hebrew), the proposed model achieves performance consistently better than or on par with existing alignment approaches, indicating its potential to scale to 1100+ languages supported by MMS without further training.","Roy Weber(Technion – Israel Institute of Technology); Meidan Zehavi(Technion – Israel Institute of Technology); Rotem Rousso(Technion – Israel Institute of Technology); Joseph Keshet(Technion – Israel Institute of Technology)","","","","","","","","","","","","","","","","","","",""
"Oral","560","10:00-10:20","V-Align: Visual Forced Alignment via Phoneme to Video Optimal Path Traversal","Souvik Ghosh","Visual Forced Alignment (VFA) aims to temporally localize linguistic units within silent talking-face videos, enabling alignment when audio is noisy or unavailable. We propose V-Align, a structured framework that formulates VFA as an optimal monotonic path traversal problem over a frame-phoneme compatibility lattice. Given the lip-motion embeddings and transcript-derived phoneme representations, V-Align learns a soft traversal posterior and recovers discrete boundaries via dynamic programming. Training follows a two-stage strategy: Stage 1 encourages optimal path learning without explicit boundary supervision and already achieves competitive performance relative to fully supervised VFA baselines, while Stage 2 refines boundary precision using additional word-level supervision. Experiments on LRS2 and LRS3 demonstrate state-of-the-art MAE and frame accuracy. Code and demo are available at: https://valign-interspeech.github.io/.","Souvik Ghosh(IIIT Hyderabad); C. V. Jawahar(IIIT Hyderabad); Vinay Namboodiri(University of Bath)","","","","","","","","","","","","","","","","","","",""
"Oral","820","10:20-10:40","findsylls: A Language‑Agnostic Toolkit for Syllable‑Level Speech Tokenization and Embedding","Héctor Javier Vázquez Martínez","Syllable-level units offer compact and linguistically meaningful representations for spoken language modeling and unsupervised word discovery, but research on syllabification remains fragmented across disparate implementations, datasets, and evaluation protocols. We introduce findsylls, a modular, language-agnostic toolkit that unifies classical syllable detectors and end-to-end syllabifiers under a common interface for syllable segmentation, embedding extraction, and multi-granular evaluation. The toolkit implements and standardizes widely used methods (e.g., Sylber, VG-HuBERT) and allows their components to be recombined, enabling controlled comparisons of representations, algorithms, and token rates. We demonstrate findsylls on English and Spanish corpora and on new hand-annotated data from Kono, an underdocumented Central Mande language, illustrating how a single framework can support reproducible syllable-level experiments across both high-resource and under-resourced settings.","Héctor Javier Vázquez Martínez(University of Pennsylvania)","","","","","","","","","","","","","","","","","","",""
"Oral","2568","10:40-11:00","Duration-Aware Soft Targets for Text-Independent Supervised Phone Segmentation","Raghavan Ramesh","Hard boundaries are commonly used as ground truth targets for text-independent supervised phone segmentation. However, prior works do not explicitly model the uncertainty in phone transition annotations. To address this limitation, we propose the use of soft targets in place of hard boundaries. The ambiguity of transition around boundary events is modeled using two unnormalized zero-mean half Gaussian pulses centered at each boundary indicated by the hard targets, with standard deviations proportional to neighboring segment durations. Hard labels within two standard deviations of the boundary are replaced with Gaussian function values, while the other labels remain unchanged. Using soft targets, a baseline BiGRU model achieves an R-val of 91.53% on the TIMIT test split. Experiments on out-of-domain and multilingual data show statistically significant improvements over hard targets.","Raghavan Ramesh(IIT Hyderabad); Meka Nani(IIT Hyderabad); Sri Rama Murty Kodukula(IIT Hyderabad)","","","","","","","","","","","","","","","","","","",""
"Thursday 1 October 2026 - 09:00-11:00 - Area 7 - Oral 7 - LLM Based Speech Synthesis","","","","","","","tbhead2 bg-c2","","","","","","","","","","","","","","","","","",""
"Oral","1339","09:00-09:20","Decoding Order Matters in Autoregressive Speech Synthesis","Minghui Zhao","Autoregressive speech synthesis has traditionally followed a left-to-right order, yet generation order is a modelling choice. This paper investigates decoding order through a masked diffusion framework that enables arbitrary decoding orders at inference time. To isolate the effect of decoding order from inductive biases introduced by learned discrete encoders, we operate on scalar quantised Mel-spectrograms. Our results demonstrate that the left-to-right strategy is suboptimal for capturing complex acoustic dependencies. The reverse, right-to-left, order consistently outperforms the traditional approach, while the adaptive confidence-based strategy top1 achieves the highest Mean Opinion Score (MOS) among all model outputs. Analysis reveals that the most effective orders maintain local clusters of consecutive frames to balance long-range temporal dependencies with local coherence. These results establish decoding order as a critical parameter for improving synthesis quality.","Minghui Zhao(University of Sheffield); Anton Ragni(University of Sheffield)","","","","","","","","","","","","","","","","","","",""
"Oral","1531","09:20-09:40","Decoupling Search and Evaluation: Efficient Beam Decoding for Language Model-Based Text-to-Speech Synthesis","Chenlin Liu","Language model (LM)-based text-to-speech (TTS) systems typically rely on sampling-based decoding, which suffers from stochastic instability. While beam search offers a maximization-based alternative, it is limited in speech generation due to severe degeneration (e.g., temporal collapse) and high latency. Our analysis reveals that beam search cost is highly imbalanced between search and evaluation stages. Motivated by this, we propose Search-and-eValuatE beam decoding (SaVE-Beam), which decouples hypothesis expansion from sequence scoring. Specifically, a lightweight student model performs chunk-wise beam construction, while the teacher LM retains exact evaluation. Hard repetition constraints are introduced to prevent degenerate loops. Experiments show that SaVE-Beam achieves up to 5.1x speedup over conventional beam search without degrading speech quality, and reduces WER by up to 50% compared to sampling, enabling practical maximization-based decoding for real-time LM-based TTS.","Chenlin Liu(Harbin Institute of Technology); Jie Gao(Tsinghua University); Wei Zhou(Zhejiang University); Guangyan Zhang(Zhejiang University); Minghui Fang(Tsinghua University); Jiqing Han(Harbin Institute of Technology)","","","","","","","","","","","","","","","","","","",""
