"Session Thursday 1 October 2026 - 09:00-11:00 - Area 1 - Oral 4 - Modeling Articulation Survey Talk","Paper ID Surv-01-1","Time 09:00-09:40","Paper Title Bio-Informed Speech Processing, Modeling, and Generation","Presenting Author Yu Tsao","Abstract Conventional speech technologies rely primarily on acoustic signals, without explicitly accounting for the biological mechanisms underlying human speech production and perception. This survey examines bio-informed speech processing, modeling, and generation by integrating physiological signals with modern machine learning. We investigate how multimodal articulatory dynamics can enable robust motor-control representations and silent-speech interfaces. We further explore how neural markers and individualized hearing profiles can guide perceptual optimization, enhance speech quality, and maximize intelligibility. Grounding computational models in articulatory, muscular, and neuroauditory mechanisms establishes a transformative paradigm for next-generation assistive hearing devices, speech synthesis, and personalized communication systems across diverse speakers, communication environments, clinical needs, and application scenarios.","Authors ","CN tbhead2 bg-c2 ","","","","","","","","","","","","","","","","","",""
"Oral","3115","10:20-10:40","Rethinking Organization Entity Modeling in End-to-End Acoustic Named Entity Recognition","Spandan Dey","End-to-end acoustic named entity recognition (NER) integrates speech transcription and entity detection within a unified model, avoiding error propagation in cascaded ASR-NER systems. However, organization entities remain significantly harder to detect due to multi-word spans, acronyms, and lexical variability. We present a systematic analysis of organization recognition failures in acoustic NER, revealing that conventional cross-entropy training inadequately models entity span dependencies. To address this limitation, we propose an organization-aware Whisper-based acoustic NER framework combining LLM-based targeted semantic augmentation, category-specific boundary supervision, and a structure-constrained entity learning (SCEL) objective that enforces entity span consistency during decoding. Experiments demonstrate substantial improvements in organization recognition while maintaining strong ASR performance, outperforming in entity-recognition for several other existing approaches.","Spandan Dey(Samsung R&D Institute India-Bangalore); Nidhi Mantri(Samsung R&D Institute India-Bangalore); Sambit Behera(Samsung R&D Institute India-Bangalore); Hirak Mondal(Samsung R&D Institute India-Bangalore); Sanjay Kurmi(Samsung R&D Institute India-Bangalore); Sreyasree Mandal(Samsung R&D Institute India-Bangalore); Atharv Joshi(Samsung R&D Institute India-Bangalore); Premjeet Singh(Samsung R&D Institute India-Bangalore); Gopal Agrawal(Samsung R&D Institute India-Bangalore)","","","","","","","","","","","","","","","","","","",""
"Oral","1316","10:40-11:00","AnySimLite: A Lightweight Few-Shot Similarity Encoder for On-Device Speech-Adjacent Classification","Sourav Ghosh","To minimize privacy concerns and inference latency on edge devices like smartphones, lightweight on-device models remain important for end-user applications. Many of these applications involve natural language classification, but deploying multiple specialized models creates a memory footprint challenge. We investigate: Can a single lightweight architecture solve multiple Speech-Adjacent (SA) classification tasks through reduction to a nuanced text similarity formulation? We propose ANYSIM-LITE, a lightweight similarity encoder that combines word-level and character-level channels. Together with a dataset transformation strategy, we evaluate ANYSIM-LITE across multiple SA classification tasks and show that it consistently achieves state-of-the-art (SOTA) or SOTA-competitive performance in few-shot settings while maintaining a low memory footprint. Even in the worst case, the performance drop remains below 7% while using &lt; 1/250th of the model size of the SOTA qLLaMA_LoRA-7B baseline.","Sourav Ghosh(Samsung R&D Institute Bangalore); Yash Bhatia(Samsung R&D Institute Bangalore); Keshav Goyal(Samsung R&D Institute Bangalore); Sahil Singh Bagri(Samsung R&D Institute Bangalore); Mohamed Akram Ulla Shariff(Samsung R&D Institute Bangalore); Saravana Balaji Shanmugam(Samsung R&D Institute Bangalore)","","","","","","","","","","","","","","","","","","",""
"Thursday 1 October 2026 - 09:00-11:00 - Area 13 - Oral 6 - Beyond Speech Technologies in Healthcare","","","","","","","tbhead2 bg-c2","","","","","","","","","","","","","","","","","",""
"Oral","1942","09:00-09:20","Personalized Electrolaryngeal Voice Conversion with a Single Pre-operative Utterance","Devin Chang","Electrolaryngeal voice conversion (ELVC) enhances the mechanical speech of laryngectomees to improve naturalness and intelligibility. While personalized ELVC typically requires extensive pre-operative recordings for supervised training, this paper investigates a one-shot scenario where only one natural utterance is available for timbre preservation. We evaluate two strategies using zero-shot VC models: (1) a cascaded approach, performing ELVC followed by secondary conversion to the target timbre; and (2) a pseudo-target strategy, using a zero-shot model to generate synthetic training data for a supervised ELVC model. Results indicate that the cascaded approach outperforms the pseudo-target strategy, remarkably improving speaker similarity and quality with minimal impact on intelligibility. We also demonstrate that direct application of zero-shot models to ELVC fails due to domain mismatch, confirming the necessity of our proposed framework for one-shot personalized voice restoration.","Devin Chang(Academia Sinica); Hsin-Te Hwang(Academia Sinica); Ming-Chi Yen(Academia Sinica; National Taiwan University); Shu-Wei Tsai(National Cheng Kung University Hospital); Yu Tsao(Academia Sinica); Hsin-Min Wang(Academia Sinica)","","","","","","","","","","","","","","","","","","",""
"Oral","1882","09:20-09:40","A Preclinical Study of Electrolaryngeal Voice Conversion for a Novel Nasal Electrolarynx: Feature Choice and Data Augmentation","Ming-Chi Yen","Electrolaryngeal (EL) speech often exhibits reduced intelligibility and naturalness due to imperfect excitation and fixed pitch. In this preclinical study, we present the first systematic investigation of electrolaryngeal voice conversion (ELVC) for speech produced by a newly invented nasal electrolarynx (NEL), extending previous work that mainly targets cervical EL (CEL) speech. We examine the choice of features under NEL's distinctive acoustics by comparing Mel-spectrograms and WavLM features as input to a seq2seq ELVC system. To address NEL data scarcity, we propose an LLE-VC-based augmentation strategy to synthesize paired sNEL--sNL speech for VC pretraining. Experiments reveal device-dependent trends: WavLM features benefit CEL-oriented conversion and augmentation, whereas Mel-spectrogram inputs better preserve NEL-specific spectral characteristics and yield better intelligibility-related metrics and listener preferences for NEL-to-NL conversion.","Qi-Yan Chen(Academia Sinica); Ming-Chi Yen(Academia Sinica; National Taiwan University); Fo-Rui Li(National Central University); Hsin-Te Hwang(Academia Sinica); Ching-Hung Lai(National Cheng Kung University Hospital); Shu-Wei Tsai(National Cheng Kung University Hospital); Ping-Cheng Yeh(National Taiwan University); Jyh-Shing Roger Jang(National Taiwan University); Yu Tsao(Academia Sinica); Hsin-Min Wang(Academia Sinica)","","","","","","","","","","","","","","","","","","",""
"Oral","2150","09:40-10:00","One-to-Many Electrolaryngeal Voice Conversion with Synthetic Data","Carlos Toshinori Ishi","Restoring natural (NL) speech from electrolarynx (EL) speech is crucial for EL users who have undergone laryngectomy. While previous works have shown the effectiveness of deep learning methods for converting EL-to-NL speech with data augmentation, time-aligned conversion remains underexplored, where data scarcity is more severe due to temporal constraints. We propose a data-driven learning framework to learn from small-scale (13 minutes) EL speech data to synthesize time-aligned EL speech from NL speech of multiple speakers, for developing one-to-many EL-to-NL conversion models. Our method leverages pretrained deep learning-based any-to-many voice conversion (VC) models for finetuning on EL speech for NL-to-EL conversion, to convert the NL speech in a large-scale multi-speaker corpus to synthetic EL speech, which is used to supervise a pretrained VC model for one-to-many EL-to-NL VC. Experiments show the effectiveness of our method against baselines in intonation and intelligibility.","Bowen Wu(RIKEN; ATR); Haruto Ueno(RIKEN; The University of Osaka); Carlos Toshinori Ishi(RIKEN; ATR); Chaoran Liu(RIKEN; ATR; NII)","","","","","","","","","","","","","","","","","","",""
"Oral","3023","10:00-10:20","Tongue2Speech: Real-Time Speech Synthesis from Tongue Ultrasound Videos via Spatiotemporal Transformers","Yash Sonkar","Ultrasound-to-Speech aims to synthesize intelligible speech from tongue ultrasound video. Prior approaches rely mainly on purely convolutional or recurrent architectures. We present Tongue2Speech, a lightweight framework combining explicit 3D spatio-temporal encoding with a multi-layer Transformer to model long-range articulatory dynamics. Spectral distortion metrics (such as MSE) commonly used in prior work are weak indicators of lexical accuracy when used in isolation. Therefore, we evaluate performance using word error rate (WER). On the English TaL corpus, Tongue2Speech achieves 15.93% WER in single-speaker and 31.64% in multi-speaker settings, outperforming six strong baselines. Speaker-specific fine-tuning further improves intelligibility for unseen users. These results highlight tongue-only ultrasound as a promising pathway toward practical silent speech synthesis. Audio samples are available at: https://tongue2speech.github.io/","Yash Sonkar(IIIT Hyderabad); Yasaswi Kilaru(IIIT Hyderabad); Sudheera Yelimeli(IIIT Hyderabad); Neil Shah(IIIT Hyderabad; TCS Research); Vineet Gandhi(IIIT Hyderabad)","","","","","","","","","","","","","","","","","","",""
"Oral","1071","10:20-10:40","On the Role of the Tongue Region in Ultrasound-to-Acoustic Mapping","Ibrahim Ibrahimov","Ultrasound tongue imaging is a promising modality for Silent Speech Interfaces, yet a core assumption in ultrasound-to-acoustic mapping remains untested, namely that the tongue is the primary source of acoustic information. We test this hypothesis by proposing an automatic tongue region extraction method for controlled input manipulation on a 2D-CNN baseline, and a dual encoder with cross-attention gating for mapping ultrasound frames to 80-dimensional mel-spectrograms. Based on our results, surprisingly, removing the tongue region produced no statistically significant MSE degradation, suggesting the 2D-CNN may exploit broader image cues rather than tongue-specific features. The dual encoder similarly yields no significant gain over the baseline across MSE, MCD, PESQ, and MOSnet. However, Grad-CAM maps reveal that the dual encoder focuses activations on the tongue region, unlike the baseline, representing a meaningful step towards more interpretable ultrasound-to-acoustic mapping.","Ibrahim Ibrahimov(Department of TelecommBudapest University of Technology and Economics); Gábor Gosztolya(HUN-REN–SZTE Research Group on Artificial Intelligence; University of Szeged); Csaba Zainkó(Budapest University of Technology and Economics)","","","","","","","","","","","","","","","","","","",""
"Oral","1501","10:40-11:00","Low-Burden Data Augmentation for Dysarthric ASR via Zero-Shot Voice Cloning","Satwinder Singh","Automatic speech recognition remains unreliable for dysarthric speech due to data scarcity and high inter-speaker variability. While synthetic data can address these gaps, traditional methods often require extensive speaker-specific data, reintroducing the collection bottleneck. We investigate zero-shot voice cloning as a low-burden augmentation strategy, using Higgs Audio V2 to clone speakers in the TORGO dataset. We fine-tune (FT) Whisper-medium on cloned, real, and hybrid data and evaluate on held-out real speech. Compared to the zero-shot (31.62%), Clone FT achieved a competitive 26.00% WER, nearly matching the 24.44% and 25.12% seen with Real and Hybrid FT, respectively. Notably, Clone and Hybrid FT outperform Real FT for moderate-severe speakers. Clone FT achieves the best results (11.45% relative) in cross-corpus evaluation on the SAP-1102. These results suggest that zero-shot cloning provides scalable training data that circumvents the costly data collection bottleneck.","Satwinder Singh(University of Auckland); Qianli Wang(University of Auckland); Zihan Zhong(University of Auckland); Clarion Mendes(University of Illinois Urbana-Champaign); Mark Hasegawa-Johnson(University of Illinois Urbana-Champaign); Waleed Abdulla(University of Auckland); Seyed Reza Shahamiri(University of Auckland)","","","","","","","","","","","","","","","","","","",""
"★ Thursday 1 October 2026 - 09:00-11:00 - Long Oral 4 - Speaker Diarization and Recognition [Cross-area long papers Oral session]","","","","","","","tbhead2 bg-c2","","","","","","","","","","","","","","","","","",""
"Survey Talk","","09:00-09:40","One Embedding Doesn't Fit All: Rethinking Speaker Modeling Robustness Across Speaker-Centric Tasks","Shuai Wang","Speaker embeddings have become a fundamental representation for a wide range of speaker-centric speech applications, including speaker verification, diarization, target speaker extraction, and personalized speech interaction. However, a speaker representation optimized for one task or acoustic condition does not necessarily generalize well to others. This survey revisits the notion of robustness in speaker modeling from a broader, task-oriented perspective. We review recent progress in learning speaker representations under variations in acoustics, speech content, duration, and domain, and discuss how speaker information is exploited differently across downstream tasks. Particular attention is given to the trade-offs between task-independent speaker representations and task-adaptive modeling. Finally, we highlight emerging challenges and opportunities toward more generalizable, transferable, and task-aware speaker modeling for future speech and multimodal systems.","","","","","","","","","","","","","","","","","","","",""
"Long Oral","2854","09:40-10:00","SDR-LLM: Speech-LLM Based End-to-End Speaker Diarization and Recognition with Sentence-Level Temporal Modeling","Renjie Yu","Speaker Diarization and Recognition (SDR) is crucial for multi-speaker audio. Cascaded systems suffer from error accumulation, while many end-to-end (E2E) models fail to provide fine-grained temporal alignment. We propose a unified Speech-LLM framework that predicts speaker identities, text, and millisecond-level timestamps. Our method introduces a FIFO output sequence, integrating voiceprint IDs and temporal boundaries into autoregressive generation. Training high-accuracy E2E SDR models requires large amounts of annotated data, which is scarce. To address this, we use a two-stage approach: first, simulating speaker turns and timing with synthetic data, followed by fine-tuning with a small amount of real-world data. Experiments on AISHELL-4, AliMeeting, and OleSpeech show that our approach outperforms E2E models in transcription accuracy and achieves diarization comparable to cascaded systems. Our method balances transcription precision and temporal alignment in real-world corpus.","Renjie Yu(Tsinghua University); Yixuan Zhou(Tsinghua University); Shun Lei(Tsinghua University); Xiang Li(Tsinghua University); Runchuan Ye(Tsinghua University); Yikai Huang(ModelBest Inc.); Guoyang Zeng(Tsinghua University); Zhiyong Wu(Tsinghua University)","","","","","","","","","","","","","","","","","","",""
"Long Oral","2813","10:00-10:20","Where Do Backdoors Live? A Component-Level Analysis of Backdoor Propagation in Speech Language Models","Alexandrine Fortier","Speech language models (SLMs) are systems of systems: independent components that unite to achieve a common goal. Despite their heterogeneous nature, SLMs are often studied end-to-end; how information flows through the pipeline remains obscure. We investigate this question through the lens of backdoor attacks. We first establish that backdoors can propagate through the SLM, leaving all tasks highly vulnerable. From this, we design a component analysis to discover the role each component takes in backdoor learning. We find that backdoor persistence or erasure is highly dependent on the targeted component. Beyond propagation, we examine how backdoors are encoded in shared multitask embeddings, showing that poisoned samples are not directly separable from benign ones, challenging a common separability assumption used in filtering defenses. Our findings emphasize the need to treat multimodal pipelines as intricate systems with unique vulnerabilities, not solely extensions of unimodal ones.","Alexandrine Fortier(University of British Columbia); Thomas Thebaud(Johns Hopkins University); Jesus Villalba(Johns Hopkins University); Najim Dehak(Johns Hopkins University); Patrick Cardinal(École de technologie supérieure); Peter West(University of British Columbia)","","","","","","","","","","","","","","","","","","",""
"Long Oral","45","10:20-10:40","Tight Boundary Prediction in Speaker Diarization Using Causal-Anticausal Consistency","Shota Horiguchi","Multi-talker conversational automatic speech recognition data are often used to train speaker diarization models. Because such data prioritize semantic continuity, pauses and boundary margins are included within speech segments, resulting in loose annotations. Models trained on such data tend to internalize mechanisms that reproduce this looseness, although tight speech intervals are sometimes preferable for downstream applications. In this paper, we address the novel task of enabling models to produce tight predictions using loose labels. Our method generates tighter pseudo labels using causal and anticausal models, which are inherently incapable of learning loosening behavior. We further propose a co-training scheme that iteratively tightens labels and updates both models for more progressive refinement. Experimental results show that the proposed method recovers about 70 % of the tightening effect achieved by ideal tight-label training and improves downstream performance.","Shota Horiguchi(NTT, Inc.); Marc Delcroix(NTT, Inc.); Naohiro Tawara(NTT, Inc.); Takanori Ashihara(NTT, Inc.); Atsushi Ando(NTT, Inc.)","","","","","","","","","","","","","","","","","","",""
"Long Oral","2462","10:40-11:00","Modeling Overlapped Speech with Shuffles","Matthew Wiesner","We propose to model parallel streams of data, such as overlapped speech, using shuffles. Specifically, this paper shows how the shuffle product and partial order finite-state automata (FSAs) can be used for alignment and speaker-attributed transcription of overlapped speech. We train using the total score on these FSAs as a loss function, marginalizing over all possible serializations of overlapping sequences at subword, word, and phrase levels. To reduce graph size, we impose temporal constraints by constructing partial order FSAs. We address speaker attribution by modeling (token, speaker) tuples directly. Viterbi alignment through the shuffle product FSA directly enables one-pass alignment. We evaluate performance on synthetic LibriSpeech overlaps. To our knowledge, this is the first algorithm that enables single-pass alignment of multi-talker recordings. All algorithms are implemented using k2 / Icefall.","Matthew Wiesner(Johns Hopkins University; LISN, CNRS); Samuele Cornell(Carnegie Mellon University); Alexander Polok(Brno University of Technology); Lucas Ondel-Yang(LISN, CNRS); Lukáš Burget(Brno University of Technology); Sanjeev Khudanpur(Johns Hopkins University)","","","","","","","","","","","","","","","","","","",""
"★ Thursday 1 October 2026 - 09:00-11:00 - Long Oral 12 - Emotion, Prosody, and Articulation [Cross-area long papers Oral session]","","","","","","","tbhead2 bg-c2","","","","","","","","","","","","","","","","","",""
"Long Oral","3451","09:00-09:20","ProSarc: Prosody-Aware Sarcasm Recognition Framework via Temporal Prosodic Incongruity","Prathamjyot Singh","We present ProSarc, an audio-only framework that detects sarcasm by modelling temporal prosodic incongruity, that is, the mismatch between local prosodic dynamics and the utterance-level emotional baseline. Dual encoding paths, a Global Emotion Encoder and a Temporal Prosody Encoder (BiLSTM + multi-head attention), feed a Prosodic Incongruity Analyzer that produces a scalar incongruity score for classification. Monte Carlo dropout provides uncertainty estimates, and an attention-based mechanism localises sarcastic onset without frame-level labels. ProSarc outperforms prior audio-only methods on MUStARD++ (F1 = 75.3) and generalises to spontaneous (PodSarc, F1 = 62.9) and cross-lingual speech (MuSaG, F1 = 65.6). Ten-run validation confirms the contribution of incongruity modelling (Wilcoxon p=0.002, Cohen's d=1.51). Human evaluation shows that model uncertainty tracks perceptual ambiguity and predicted onsets align with human-annotated temporal windows.","Prathamjyot Singh(Thapar Institute of Engineering and Technology); Ashima Sood(Ulster University); Sahil Sharma(Ulster University); Jasmeet Singh(Thapar Institute of Engineering and Technology)","","","","","","","","","","","","","","","","","","",""
"Long Oral","1125","09:20-09:40","A Two-Stage Defence for Robust Federated Speech Emotion Recognition","Yi Chang","With machine learning and speech processing advancements, speech emotion recognition has gained popularity recently. However, speech data cannot be protected when it is uploaded and processed on servers in the internet-of-things applications of speech emotion recognition. Further, deep neural networks have proven to be vulnerable to human-indistinguishable adversarial perturbations. The adversarial attacks generated from the perturbations may result in deep neural networks wrongly predicting the emotional states. We propose a novel federated adversarial learning framework for protecting both data and deep neural networks. The proposed framework consists of i) federated learning for data privacy, and ii) adversarial training at the training stage and randomisation at the testing stage for model robustness. The experiments show our proposed framework effectively protects speech data locally and improve model robustness against a series of adversarial attacks.","Yi Chang(Imperial College London); Sofiane Laridi(Leibniz University Hannover); Zhao Ren(University of Bremen); Gregory Palmer(Leibniz University Hannover); Björn W. Schuller(Imperial College London); Marco Fisichella(Leibniz University Hannover)","","","","","","","","","","","","","","","","","","",""
"Long Oral","1299","09:40-10:00","Segregate, Refine, Integrate: Decomposing Multimodal Fusion for Sentiment Analysis","Alexandros Potamianos","Multimodal fusion must simultaneously refine modality-specific signals and model cross-modal interactions; two competing objectives typically entangled within the same operation. We propose SeRIn (Segregate, Refine, Integrate), a multimodal LM fusion scheme that enforces this separation as an architectural prior. Modality-specific representations evolve along isolated pathways, each refined against its respective encoder context, while a dedicated cross-modal pathway accumulates their joint evolution without contaminating unimodal streams. Full cross-modal interaction is deferred to a final prediction step — ablations confirm that structured interactions, not added capacity, drive the gains; gate analysis under visual corruption reveals emergent modality reweighting without explicit supervision. SeRIn achieves state-of-the-art results on CH-SIMS and CMU-MOSEI, improving all metrics on both benchmarks.","Alexios Filippakopoulos(National Technical University of Athens; Synaptic Bloom); Elias Kallioras(National Technical University of Athens); Nikolaos Xiros(National Technical University of Athens; Athena Research Center); Efthymios Georgiou(National Technical University of Athens; University of Bern); Alexandros Potamianos(National Technical University of Athens; Archimedes AI; Synaptic Bloom)","","","","","","","","","","","","","","","","","","",""
"Long Oral","1374","10:00-10:20","An Acoustic Landmark Database of the English Lexicon via Articulatory Synthesis","Mateo Cámara","Acoustic landmark theory treats speech as organized around the acoustic consequences of articulatory gestures that shape the vocal tract and airflow. Progress is limited by the scarcity of large, unambiguously annotated landmark datasets. We invert the problem by generating speech from landmark patterns. Using the Pink Trombone physical vocal-tract synthesizer, we produce an English lexicon for two adult configurations (male, female). With direct control of gestures, we place landmark labels algorithmically at the exact times of their physical events (e.g., oral closures/releases). The corpus contains &gt;200,000 synthesized words, rendered for both configurations with time-aligned annotations; intelligibility is measured with STOI. We leverage it for statistics across the lexicon from an articulatory-event view, reporting landmark frequencies and dominant cue patterns, and enabling quantitative studies plus training/benchmarking of automatic landmark detectors.","Mateo Cámara(Universidad Politécnica de Madrid; MIT); José Luis Blanco(Universidad Politécnica de Madrid); Juan Ignacio Godino-Llorente(Universidad Politécnica de Madrid); Jeung-Yoon Choi(Universidad Politécnica de Madrid); Stefanie Shattuck-Hufnagel(MIT)","","","","","","","","","","","","","","","","","","",""
"Long Oral","2560","10:20-10:40","NewAppVoice: Tools for Visualizing and Correcting Acoustic Measures","Amélie Elmerich","Phonetic analysis of little-studied languages, particularly those with complex segmental inventories or typologically rare features, often requires extensive manual verification of acoustic measurements. In the absence of established reference formant values, automatic extraction frequently produces systematic errors that must be visually inspected and corrected. Most large-scale scripts process datasets without interactive feedback, limiting transparency and reproducibility when manual intervention is necessary. This study presents NewAppVoice, a reproducible workflow integrating multiple formant-calculation algorithms with synchronized visualization of signals and measurements. Unlike fully automated pipelines, the software combines algorithmic processing with structured manual verification, improving reliability while ensuring transparency. The software and derived applications are freely available as open access tools supporting reproducible research on under-documented languages.","Amélie Elmerich(CNRS & Sorbonne Nouvelle); Yao Dong(CNRS); Louise McKeever(CNRS & Sorbonne Nouvelle); Katia Chirkova(CNRS); Lise Crevier-Buchman(CNRS & Sorbonne Nouvelle; Université Paris Saclay); Claire Pillot-Loiseau(CNRS & Sorbonne Nouvelle); Angelique Amelot(CNRS & Sorbonne Nouvelle)","","","","","","","","","","","","","","","","","","",""
"Thursday 1 October 2026 - 09:00-11:00 - Area4 - Poster 1 - Speaker Recognition and Verification","","","","","","","tbhead2 bg-c4","","","","","","","","","","","","","","","","","",""
"Poster","634","09:00-11:00","Beyond Residual Connections: Manifold-Constrained Hyper-Connections for Robust Speaker Representation Learning","Zhe LI","Residual connections are fundamental to deep speaker recognition models, such as ECAPA-TDNN and ResNet. However, standard identity mapping limits information flow to a single path, constraining representation capacity. We introduce Manifold-Constrained Hyper-Connections (mHC), reformulating residual paths as a multi-stream evolution where information is mixed through a doubly stochastic matrix. By employing Sinkhorn-Knopp iterations, mHC ensures energy conservation by preserving signal intensity and feature mean, which stabilizes gradients and mitigates signal degradation in complex networks. We evaluate mHC by replacing standard residual connections in backbones including ECAPA-TDNN, ResNet-34, Res2Net, and E-Res2Net. Extensive experiments on VoxCeleb1 demonstrate that mHC connections consistently enhances performance across all architectures, highlighting its effectiveness for robust speaker representation learning.","Zezhong Jin(The Hong Kong Polytechnic University); Xiaoyu Wang(Baidu); Zhe Li(Hong Kong University); Chong-Xin Gan(The Hong Kong Polytechnic University); Zilong Huang(The Hong Kong Polytechnic University); Man-Wai Mak(The Hong Kong Polytechnic University); Kong Aik Lee(The Hong Kong Polytechnic University)","","","","","","","","","","","","","","","","","","",""
"Poster","587","09:00-11:00","Mitigating Pruning-Quantization Compound Errors for Ultra-Lightweight
ResNet34-Based Speaker Recognition","城轩 龙","While deep neural networks (DNNs) have greatly advanced speaker recognition, backbone models such as ResNet34 still suffer from computation and memory footprints, making difficult to deploy on resource-constrained devices. To this end, we explored pruning and quantization techniques to compress speaker recognition model. Specifically, we propose a unified compression framework that combines channel pruning and low-bit quantization. Specifically, we propose ResRep-MB, a pruning strategy with multi-branch compactors for accurate channel importance assessment, achieving near-lossless structural compression. To mitigate the compound errors caused by pruning and INT4 quantization, we propose Progressive Pruning-Quantization Distillation (PPQD), which employs a dual-teacher mechanism. Experiments on VoxCeleb1 and CN-Celeb1 demonstrate that the compressed ResNet34 achieves a 19.2× compression ratio with only a 6.8% relative EER degradation, while maintaining robust cross-language performance.","","","","","","","","","","","","","","","","","","","",""
"Poster","963","09:00-11:00","Continuous 2D Spectral—Temporal Transformer for Speaker Verification","Seongwook Ham","Recent speaker verification (SV) systems often employ hybrid architectures that combine spectral—temporal modeling with temporal aggregation. However, approaches such as ReDimNet perform global dependency modeling after collapsing the spectral—temporal grid into a temporal representation, which removes the explicit spectral-temporal structure. We propose Continuous 2D Spectral-Temporal Transformer (C2D-ST), which maintains the spectral—temporal representation throughout the backbone and performs global dependency modeling directly on the spectral—temporal grid, with temporal-only modeling applied only in a final stage. Experiments on VoxCeleb show that C2D-ST achieves competitive performance with strong parameter efficiency, reaching 0.507 average EER with 6.9M parameters.","Seongwook Ham(Soongsil University); Thien-Phuc Doan(Soongsil University)","","","","","","","","","","","","","","","","","","",""
"Poster","25","09:00-11:00","A Federated Learning-Based Speaker Recognition Method with Dual Classification Heads","Liang He","In speaker recognition tasks, acquiring data requires significant technical and financial resources for individual organizations, while also posing risks of privacy breaches. Applying federated learning architectures can address these issues, but model performance may degrade when confronting data heterogeneity challenges. In this paper, we propose a federated learning-based speaker recognition method with dual classification heads. By introducing a more knowledgeable classification head, local models can acquire more comprehensive global knowledge, thereby improving model performance. Our method achieved an average EER improvement of 46.5% over local training and 7.6% over FedAvg when trained on the VoxCeleb2 dataset. When jointly trained on the VoxCeleb and CN-Celeb datasets, the average EER improved by 68.8% over local training and 5.4% over FedAvg.","Ying Meng(Xinjiang University); Zhihua Fang(Xinjiang University; AGIBOT); Liang He(Xinjiang University; Tsinghua University)","","","","","","","","","","","","","","","","","","",""
"Poster","196","09:00-11:00","Learning Global Key Knowledge for Federated Speaker Recognition via Fisher Information","Liang He","Speaker recognition relies on substantial data to enhance model performance, but the large-scale transmission of data by individual organizations incurs privacy and economic costs. Federated learning addresses privacy concerns by avoiding direct data transmission. However, due to inconsistent client data distributions, local models may learn redundant knowledge, leading to degraded performance. In this work, we utilise the Fisher Information Matrix to extract key dimensions from embeddings, enabling representation alignment between global and local models. By instructing local models to learn critical knowledge from the global model, we mitigate the detrimental effects of redundant knowledge, thereby enhancing overall model performance.","Ying Meng(Xinjiang University); Zhihua Fang(Xinjiang University; AGIBOT); Liang He(Xinjiang University; Tsinghua University)","","","","","","","","","","","","","","","","","","",""
"Poster","244","09:00-11:00","HistoMatch: Unified Transient-Steady Assessment for Noise-Robust Semi-Supervised Speaker Verification","Shenghan Gao","Speaker verification systems have gained widespread applications across various domains, benefiting from advances in deep learning. However, acquiring large-scale labeled data remains challenging, making semi-supervised learning with pseudo-labeling a critical research focus. Current pseudo-labeling approaches predominantly rely on confidence thresholds-a transient metric vulnerable to distortions induced by random segmentation and noise augmentation. To overcome this limitation, we propose HistoMatch, a novel mechanism that leverages historical prediction stability as a steady-state metric. Combined with transient confidence, it forms a Dual-state History-based Stability Evaluator (DHSE) for high-quality unlabeled data selection. Extensive experiments demonstrate that our semi-supervised approach achieves state-of-the-art performance on all three VoxCeleb1 test sets, with remarkable equal error rates (EER) of 0.91%, 1.13%, and 2.13%-closely approaching fully supervised benchmarks.","Shenghan Gao(UCAS; IOA); Xueshuai Zhang(IOA); Pengyuan Zhang(UCAS; IOA); Yonghong Yan(UCAS; IOA)","","","","","","","","","","","","","","","","","","",""
"Poster","1965","09:00-11:00","Self-supervised Speaker Verification with High-Confidence Pseudo-Label Selection and DINO-Style Self-Distillation Based on Pre-trained Models","Yishuang Li","In this paper, we propose a self-supervised speaker verification (SS-SV) method based on pre-trained models (PTMs), which improves performance via high-confidence pseudo-label selection and DINO-style self-distillation. We select the top-K most speaker-discriminative Transformer layers from PTMs and cluster their representations separately to generate multiple pseudo-label sets. Using label alignment, we retain samples with consistent clustering as high-confidence pseudo-labeled data, while others are treated as unlabeled. We perform pseudo-supervised learning with label noise correction loss on the high-confidence set;for unlabeled data we use an EMA teacher to provide soft distillation targets and apply a consistency loss for regularization. These objectives are jointly optimized to train the SV model. Experiments on the VoxCeleb dataset show that our SS-SV method achieves performance comparable to current state-of-the-art approaches, demonstrating its effectiveness.","Yishuang Li(Malanshan audio & video Lab); Yi Yu(Malanshan audio & video Lab); Wanli Dong(Malanshan audio & video Lab); Weihao Gan(Malanshan audio & video Lab)","","","","","","","","","","","","","","","","","","",""
